rxn_number,functional,program,thermo_kcal_mol,forward_kinetic_kcal_mol,reverse_kinetic_kcal_mol,thermo_reference_kcal_mol,forward_kinetic_reference_kcal_mol,reverse_kinetic_reference_kcal_mol,thermo_error_kcal_mol,forward_kinetic_error_kcal_mol,reverse_kinetic_error_kcal_mol,kinetic_error_kcal_mol
8,OLYP-D3BJ,Q-Chem,-35.81984159,-6.54637419,29.27346740,-34.68937600,-0.44372677,34.24570451,-1.13046559,-6.10264742,-4.97223711,5.53744227
8,wB97M-V,Q-Chem,-36.25221534,-1.74763071,34.50458463,-34.68937600,-0.44372677,34.24570451,-1.56283934,-1.30390394,0.25888012,0.78139203
9,B2GP-PLYP-D4,ORCA,-3.94358243,13.05837474,17.00195717,-10.56816073,9.12405835,19.69223593,6.62457830,3.93431639,-2.69027876,3.31229757
9,B3PW91-D4,Q-Chem,-7.93839390,7.75189412,15.69028802,-10.56816073,9.12405835,19.69223593,2.62976683,-1.37216423,-4.00194791,2.68705607
9,B97M-V,Q-Chem,-5.69010541,9.72789148,15.41799689,-10.56816073,9.12405835,19.69223593,4.87805532,0.60383313,-4.27423904,2.43903608
9,M06-2X-D30,ORCA,-5.64418880,12.38114439,18.02533319,-10.56816073,9.12405835,19.69223593,4.92397193,3.25708604,-1.66690274,2.46199439
9,M06-D4,Q-Chem,-7.22688949,10.08711004,17.31399953,-10.56816073,9.12405835,19.69223593,3.34127124,0.96305169,-2.37823640,1.67064404
9,OLYP-D3BJ,Q-Chem,-6.83899574,5.20866639,12.04766213,-10.56816073,9.12405835,19.69223593,3.72916499,-3.91539196,-7.64457380,5.77998288
9,wB97M-V,Q-Chem,-9.70260824,10.66104121,20.36364945,-10.56816073,9.12405835,19.69223593,0.86555249,1.53698286,0.67141352,1.10419819
10,B2GP-PLYP-D4,ORCA,5.58984982,15.64895533,10.05910551,6.90495634,16.32527518,9.42030784,-1.31510652,-0.67631985,0.63879767,0.65755876
10,B3PW91-D4,Q-Chem,10.84432117,17.31259974,6.46827857,6.90495634,16.32527518,9.42030784,3.93936483,0.98732456,-2.95202927,1.96967692
10,B97M-V,Q-Chem,11.29219729,18.24558645,6.95338916,6.90495634,16.32527518,9.42030784,4.38724095,1.92031127,-2.46691868,2.19361498
10,M06-2X-D30,ORCA,9.19881363,17.31679293,8.11797930,6.90495634,16.32527518,9.42030784,2.29385729,0.99151775,-1.30232854,1.14692315
10,M06-D4,Q-Chem,8.53268047,15.74633264,7.21365217,6.90495634,16.32527518,9.42030784,1.62772413,-0.57894254,-2.20665567,1.39279911
10,OLYP-D3BJ,Q-Chem,11.61995825,14.44223594,2.82227769,6.90495634,16.32527518,9.42030784,4.71500191,-1.88303924,-6.59803015,4.24053470
10,wB97M-V,Q-Chem,9.11042031,17.53988657,8.42946626,6.90495634,16.32527518,9.42030784,2.20546397,1.21461139,-0.99084158,1.10272649
11,B2GP-PLYP-D4,ORCA,0.34168009,7.54225572,7.20057563,2.71586670,10.72382225,8.00795122,-2.37418661,-3.18156653,-0.80737558,1.99447106
11,B3PW91-D4,Q-Chem,6.96000085,11.38219069,4.42218984,2.71586670,10.72382225,8.00795122,4.24413415,0.65836844,-3.58576138,2.12206491
11,B97M-V,Q-Chem,8.47701793,13.11109508,4.63407715,2.71586670,10.72382225,8.00795122,5.76115123,2.38727283,-3.37387406,2.88057345
11,M06-2X-D30,ORCA,4.41176946,10.52047798,6.10870852,2.71586670,10.72382225,8.00795122,1.69590276,-0.20334427,-1.89924270,1.05129348
11,M06-D4,Q-Chem,5.43587403,11.37704499,5.94117096,2.71586670,10.72382225,8.00795122,2.72000733,0.65322274,-2.06678026,1.36000150
11,OLYP-D3BJ,Q-Chem,11.02800080,11.38740668,0.35940588,2.71586670,10.72382225,8.00795122,8.31213410,0.66358443,-7.64854534,4.15606488
11,wB97M-V,Q-Chem,3.87343912,11.17543001,7.30199089,2.71586670,10.72382225,8.00795122,1.15757242,0.45160776,-0.70596032,0.57878404
12,B2GP-PLYP-D4,ORCA,-37.23242472,-0.60344164,36.62898308,-36.55596898,-0.46273835,36.09328889,-0.67645574,-0.14070329,0.53569419,0.33819874
12,B3PW91-D4,Q-Chem,-39.67168384,-3.49105165,36.18063219,-36.55596898,-0.46273835,36.09328889,-3.11571486,-3.02831330,0.08734330,1.55782830
12,B97M-V,Q-Chem,-36.50787150,-1.48967750,35.01819400,-36.55596898,-0.46273835,36.09328889,0.04809748,-1.02693915,-1.07509489,1.05101702
12,M06-2X-D30,ORCA,-35.31818406,-0.62538428,34.69279978,-36.55596898,-0.46273835,36.09328889,1.23778492,-0.16264593,-1.40048911,0.78156752
12,M06-D4,Q-Chem,-37.51657482,-3.98816813,33.52840669,-36.55596898,-0.46273835,36.09328889,-0.96060584,-3.52542978,-2.56488220,3.04515599
12,OLYP-D3BJ,Q-Chem,-39.21096017,-6.09096841,33.11999176,-36.55596898,-0.46273835,36.09328889,-2.65499119,-5.62823006,-2.97329713,4.30076360
12,wB97M-V,Q-Chem,-37.42664506,-0.95398224,36.47266282,-36.55596898,-0.46273835,36.09328889,-0.87067608,-0.49124389,0.37937393,0.43530891
13,B2GP-PLYP-D4,ORCA,-20.43717743,10.48836174,30.92553917,-22.03969206,10.05828918,32.09801636,1.60251463,0.43007256,-1.17247719,0.80127487
13,B3PW91-D4,Q-Chem,-21.99933529,0.26999230,22.26932759,-22.03969206,10.05828918,32.09801636,0.04035677,-9.78829688,-9.82868877,9.80849282
13,B97M-V,Q-Chem,-19.84414921,-3.00553876,16.83861045,-22.03969206,10.05828918,32.09801636,2.19554285,-13.06382794,-15.25940591,14.16161692
13,M06-2X-D30,ORCA,-23.96967861,7.61159271,31.58127132,-22.03969206,10.05828918,32.09801636,-1.92998655,-2.44669647,-0.51674504,1.48172075
13,M06-D4,Q-Chem,-23.17764722,1.18408144,24.36172866,-22.03969206,10.05828918,32.09801636,-1.13795516,-8.87420774,-7.73628770,8.30524772
13,OLYP-D3BJ,Q-Chem,-18.07529028,-8.15140067,9.92388961,-22.03969206,10.05828918,32.09801636,3.96440178,-18.20968985,-22.17412675,20.19190830
13,wB97M-V,Q-Chem,-22.38200715,8.67575490,31.05776205,-22.03969206,10.05828918,32.09801636,-0.34231509,-1.38253428,-1.04025431,1.21139429
14,B2GP-PLYP-D4,ORCA,-46.81226585,-15.65964206,31.15262379,-47.26601405,-16.58549018,30.68059919,0.45374820,0.92584812,0.47202460,0.69893636
14,B3PW91-D4,Q-Chem,-47.49787389,-18.74245268,28.75542121,-47.26601405,-16.58549018,30.68059919,-0.23185984,-2.15696250,-1.92517798,2.04107024
14,B97M-V,Q-Chem,-45.17323006,-19.46923864,25.70399142,-47.26601405,-16.58549018,30.68059919,2.09278399,-2.88374846,-4.97660777,3.93017811
14,M06-2X-D30,ORCA,-48.01923360,-15.50381855,32.51541505,-47.26601405,-16.58549018,30.68059919,-0.75321955,1.08167163,1.83481586,1.45824375
14,M06-D4,Q-Chem,-48.91625345,-22.63280362,26.28344983,-47.26601405,-16.58549018,30.68059919,-1.65023940,-6.04731344,-4.39714936,5.22223140
14,OLYP-D3BJ,Q-Chem,-43.70699720,-20.61350516,23.09349204,-47.26601405,-16.58549018,30.68059919,3.55901685,-4.02801498,-7.58710715,5.80756106
14,wB97M-V,Q-Chem,-46.61632176,-15.36573251,31.25058925,-47.26601405,-16.58549018,30.68059919,0.64969229,1.21975767,0.56999006,0.89487386
15,B2GP-PLYP-D4,ORCA,-7.72342016,24.76298821,32.48640837,-11.75110654,20.29632703,32.04745230,4.02768638,4.46666118,0.43895607,2.45280863
15,B3PW91-D4,Q-Chem,-7.99024287,22.46537756,30.45562043,-11.75110654,20.29632703,32.04745230,3.76086367,2.16905053,-1.59183187,1.88044120
15,B97M-V,Q-Chem,-4.16213020,23.99703959,28.15916979,-11.75110654,20.29632703,32.04745230,7.58897634,3.70071256,-3.88828251,3.79449754
15,M06-2X-D30,ORCA,-15.75134717,19.46614665,35.21749382,-11.75110654,20.29632703,32.04745230,-4.00024063,-0.83018038,3.17004152,2.00011095
15,M06-D4,Q-Chem,-9.78119697,19.82420789,29.60540486,-11.75110654,20.29632703,32.04745230,1.96990957,-0.47211914,-2.44204744,1.45708329
15,OLYP-D3BJ,Q-Chem,3.81523303,29.64455486,25.82932183,-11.75110654,20.29632703,32.04745230,15.56633957,9.34822783,-6.21813047,7.78317915
15,wB97M-V,Q-Chem,-13.52601961,19.87888838,33.40490799,-11.75110654,20.29632703,32.04745230,-1.77491307,-0.41743865,1.35745569,0.88744717
16,B2GP-PLYP-D4,ORCA,-9.61800303,16.55169687,26.16969990,-9.58725019,16.58002536,26.16729082,-0.03075284,-0.02832849,0.00240908,0.01536879
16,B3PW91-D4,Q-Chem,-7.32623484,16.60455079,23.93078563,-9.58725019,16.58002536,26.16729082,2.26101535,0.02452543,-2.23650519,1.13051531
16,B97M-V,Q-Chem,-3.11543186,18.10379479,21.21922665,-9.58725019,16.58002536,26.16729082,6.47181833,1.52376943,-4.94806417,3.23591680
16,M06-2X-D30,ORCA,-12.72356445,17.09714258,29.82070703,-9.58725019,16.58002536,26.16729082,-3.13631426,0.51711722,3.65341621,2.08526671
16,M06-D4,Q-Chem,-7.99509685,15.44790889,23.44300574,-9.58725019,16.58002536,26.16729082,1.59215334,-1.13211647,-2.72428508,1.92820078
16,OLYP-D3BJ,Q-Chem,1.89115839,20.58025224,18.68909385,-9.58725019,16.58002536,26.16729082,11.47840858,4.00022688,-7.47819697,5.73921192
16,wB97M-V,Q-Chem,-8.93475437,18.68197136,27.61672573,-9.58725019,16.58002536,26.16729082,0.65249582,2.10194600,1.44943491,1.77569046
17,B2GP-PLYP-D4,ORCA,-13.64658254,11.71913489,25.36571743,-17.46272979,9.70442026,27.16717789,3.81614725,2.01471463,-1.80146046,1.90808754
17,B3PW91-D4,Q-Chem,-12.98187618,5.86979233,18.85166851,-17.46272979,9.70442026,27.16717789,4.48085361,-3.83462794,-8.31550938,6.07506866
17,B97M-V,Q-Chem,-9.85338942,4.89998525,14.75337467,-17.46272979,9.70442026,27.16717789,7.60934037,-4.80443502,-12.41380322,8.60911912
17,M06-2X-D30,ORCA,-20.92670049,5.38599138,26.31269187,-17.46272979,9.70442026,27.16717789,-3.46397070,-4.31842888,-0.85448602,2.58645745
17,M06-D4,Q-Chem,-13.59585176,6.33741164,19.93326340,-17.46272979,9.70442026,27.16717789,3.86687803,-3.36700862,-7.23391449,5.30046156
17,OLYP-D3BJ,Q-Chem,-1.35551352,6.45809723,7.81361075,-17.46272979,9.70442026,27.16717789,16.10721627,-3.24632303,-19.35356714,11.29994509
17,wB97M-V,Q-Chem,-20.13823825,4.62812867,24.76636692,-17.46272979,9.70442026,27.16717789,-2.67550846,-5.07629160,-2.40081097,3.73855128
18,B2GP-PLYP-D4,ORCA,-7.44417622,0.66480729,8.10898351,-6.59231391,0.76752310,7.35984752,-0.85186231,-0.10271581,0.74913599,0.42592590
18,B3PW91-D4,Q-Chem,-12.72542950,-4.86958887,7.85584063,-6.59231391,0.76752310,7.35984752,-6.13311559,-5.63711197,0.49599311,3.06655254
18,B97M-V,Q-Chem,-11.39608683,-4.08653909,7.30954774,-6.59231391,0.76752310,7.35984752,-4.80377292,-4.85406219,-0.05029978,2.45218098
18,M06-2X-D30,ORCA,-9.55849427,-1.56688709,7.99160718,-6.59231391,0.76752310,7.35984752,-2.96618036,-2.33441019,0.63175966,1.48308493
18,M06-D4,Q-Chem,-11.22458766,-3.68326364,7.54132402,-6.59231391,0.76752310,7.35984752,-4.63227375,-4.45078674,0.18147650,2.31613162
18,OLYP-D3BJ,Q-Chem,-14.00480798,-7.58637104,6.41843694,-6.59231391,0.76752310,7.35984752,-7.41249407,-8.35389414,-0.94141058,4.64765236
18,wB97M-V,Q-Chem,-9.74379319,-1.12605324,8.61773995,-6.59231391,0.76752310,7.35984752,-3.15147928,-1.89357634,1.25789243,1.57573439
19,B2GP-PLYP-D4,ORCA,-1.05091085,4.54846624,5.59937709,-0.33490554,4.44808979,4.78299586,-0.71600531,0.10037645,0.81638123,0.45837884
19,B3PW91-D4,Q-Chem,-6.67342686,-1.36183461,5.31159225,-0.33490554,4.44808979,4.78299586,-6.33852132,-5.80992440,0.52859639,3.16926039
19,B97M-V,Q-Chem,-4.55255846,0.26754582,4.82010428,-0.33490554,4.44808979,4.78299586,-4.21765292,-4.18054397,0.03710842,2.10882619
19,M06-2X-D30,ORCA,-3.17975165,2.19334714,5.37309879,-0.33490554,4.44808979,4.78299586,-2.84484611,-2.25474265,0.59010293,1.42242279
19,M06-D4,Q-Chem,-4.90285026,-0.44420839,4.45864187,-0.33490554,4.44808979,4.78299586,-4.56794472,-4.89229818,-0.32435399,2.60832609
19,OLYP-D3BJ,Q-Chem,-8.06300931,-3.88803462,4.17497469,-0.33490554,4.44808979,4.78299586,-7.72810377,-8.33612441,-0.60802117,4.47207279
19,wB97M-V,Q-Chem,-3.62322334,2.36901811,5.99224145,-0.33490554,4.44808979,4.78299586,-3.28831780,-2.07907168,1.20924559,1.64415863
20,B2GP-PLYP-D4,ORCA,-1.93067637,8.31911461,10.24979098,2.32378037,10.73938745,8.41560337,-4.25445674,-2.42027284,1.83418761,2.12723022
20,B3PW91-D4,Q-Chem,3.73769420,6.74361254,3.00591834,2.32378037,10.73938745,8.41560337,1.41391383,-3.99577491,-5.40968503,4.70272997
20,B97M-V,Q-Chem,0.87303257,7.74821290,6.87518033,2.32378037,10.73938745,8.41560337,-1.45074780,-2.99117455,-1.54042304,2.26579880
20,M06-2X-D30,ORCA,-1.88096012,6.87989275,8.76085287,2.32378037,10.73938745,8.41560337,-4.20474049,-3.85949470,0.34524950,2.10237210
20,M06-D4,Q-Chem,3.86953368,7.41426382,3.54473014,2.32378037,10.73938745,8.41560337,1.54575331,-3.32512363,-4.87087323,4.09799843
20,OLYP-D3BJ,Q-Chem,3.77990312,4.48746124,0.70755812,2.32378037,10.73938745,8.41560337,1.45612275,-6.25192621,-7.70804525,6.97998573
20,wB97M-V,Q-Chem,1.20896984,10.21423160,9.00526176,2.32378037,10.73938745,8.41560337,-1.11481053,-0.52515585,0.58965839,0.55740712
21,B2GP-PLYP-D4,ORCA,-6.41299813,7.94361241,14.35661054,-8.15057485,7.40297583,15.55356367,1.73757672,0.54063658,-1.19695313,0.86879486
21,B3PW91-D4,Q-Chem,-8.26863444,6.54674945,14.81538389,-8.15057485,7.40297583,15.55356367,-0.11805959,-0.85622638,-0.73817978,0.79720308
21,B97M-V,Q-Chem,-4.02972890,9.59634453,13.62607343,-8.15057485,7.40297583,15.55356367,4.12084595,2.19336870,-1.92749024,2.06042947
21,M06-2X-D30,ORCA,-7.58844197,7.88263657,15.47107854,-8.15057485,7.40297583,15.55356367,0.56213288,0.47966074,-0.08248513,0.28107294
21,M06-D4,Q-Chem,-6.57022515,7.50947841,14.07970356,-8.15057485,7.40297583,15.55356367,1.58034970,0.10650258,-1.47386011,0.79018135
21,OLYP-D3BJ,Q-Chem,-4.94423495,6.23244469,11.17667964,-8.15057485,7.40297583,15.55356367,3.20633990,-1.17053114,-4.37688403,2.77370759
21,wB97M-V,Q-Chem,-9.13155043,7.59208489,16.72363532,-8.15057485,7.40297583,15.55356367,-0.98097558,0.18910906,1.17007165,0.67959035
22,B2GP-PLYP-D4,ORCA,-12.21072023,9.18950642,21.40022665,-11.99106066,9.37211407,21.36319384,-0.21965957,-0.18260765,0.03703281,0.10982023
22,B3PW91-D4,Q-Chem,-11.91569920,6.96142084,18.87712004,-11.99106066,9.37211407,21.36319384,0.07536146,-2.41069323,-2.48607380,2.44838351
22,B97M-V,Q-Chem,-12.10726461,8.22278679,20.33005140,-11.99106066,9.37211407,21.36319384,-0.11620395,-1.14932728,-1.03314244,1.09123486
22,M06-2X-D30,ORCA,-11.95090354,11.23606995,23.18697349,-11.99106066,9.37211407,21.36319384,0.04015712,1.86395588,1.82377965,1.84386777
22,M06-D4,Q-Chem,-12.00089002,12.81119511,24.81208513,-11.99106066,9.37211407,21.36319384,-0.00982936,3.43908104,3.44889129,3.44398617
22,OLYP-D3BJ,Q-Chem,-10.60958625,5.86364813,16.47323438,-11.99106066,9.37211407,21.36319384,1.38147441,-3.50846594,-4.88995946,4.19921270
22,wB97M-V,Q-Chem,-13.03748238,10.05480202,23.09228440,-11.99106066,9.37211407,21.36319384,-1.04642172,0.68268795,1.72909056,1.20588926
23,B2GP-PLYP-D4,ORCA,-5.07020618,8.21094959,13.28115577,-4.84039032,9.05221735,13.89261539,-0.22981586,-0.84126776,-0.61145962,0.72636369
23,B3PW91-D4,Q-Chem,-4.40889449,4.74356795,9.15246244,-4.84039032,9.05221735,13.89261539,0.43149583,-4.30864940,-4.74015295,4.52440118
23,B97M-V,Q-Chem,-0.75652753,8.43920715,9.19573468,-4.84039032,9.05221735,13.89261539,4.08386279,-0.61301020,-4.69688071,2.65494546
23,M06-2X-D30,ORCA,-5.93026656,8.86199839,14.79226495,-4.84039032,9.05221735,13.89261539,-1.08987624,-0.19021896,0.89964956,0.54493426
23,M06-D4,Q-Chem,-7.60659850,7.40289046,15.00948896,-4.84039032,9.05221735,13.89261539,-2.76620818,-1.64932689,1.11687357,1.38310023
23,OLYP-D3BJ,Q-Chem,-1.15441027,2.66919292,3.82360319,-4.84039032,9.05221735,13.89261539,3.68598005,-6.38302443,-10.06901220,8.22601832
23,wB97M-V,Q-Chem,-3.84856929,9.00161637,12.85018566,-4.84039032,9.05221735,13.89261539,0.99182103,-0.05060098,-1.04242973,0.54651536
24,B2GP-PLYP-D4,ORCA,-13.32648697,3.68461001,17.01109698,-10.50979169,4.49112440,15.00093284,-2.81669528,-0.80651439,2.01016414,1.40833927
24,B3PW91-D4,Q-Chem,-9.61127373,0.77772059,10.38899432,-10.50979169,4.49112440,15.00093284,0.89851796,-3.71340381,-4.61193852,4.16267117
24,B97M-V,Q-Chem,-7.09932647,3.52252043,10.62184690,-10.50979169,4.49112440,15.00093284,3.41046522,-0.96860397,-4.37908594,2.67384496
24,M06-2X-D30,ORCA,-10.08056030,5.73722200,15.81778230,-10.50979169,4.49112440,15.00093284,0.42923139,1.24609760,0.81684946,1.03147353
24,M06-D4,Q-Chem,-10.41221149,5.62932535,16.04153684,-10.50979169,4.49112440,15.00093284,0.09758020,1.13820095,1.04060400,1.08940247
24,OLYP-D3BJ,Q-Chem,-7.34320289,-1.30629500,6.03690789,-10.50979169,4.49112440,15.00093284,3.16658880,-5.79741940,-8.96402495,7.38072218
24,wB97M-V,Q-Chem,-8.83533019,5.27400713,14.10933732,-10.50979169,4.49112440,15.00093284,1.67446150,0.78288273,-0.89159552,0.83723912
