rxn_number,functional,program,thermo_kcal_mol,forward_kinetic_kcal_mol,reverse_kinetic_kcal_mol,thermo_reference_kcal_mol,forward_kinetic_reference_kcal_mol,reverse_kinetic_reference_kcal_mol,thermo_error_kcal_mol,forward_kinetic_error_kcal_mol,reverse_kinetic_error_kcal_mol,kinetic_error_kcal_mol
19,gxtb,gxTB,1.56074790,5.85576177,4.29501387,-0.33490554,4.44808979,4.78299586,1.89565344,1.40767198,-0.48798199,0.94782699
20,gxtb,gxTB,4.67343348,9.72352953,5.05009605,2.32378037,10.73938745,8.41560337,2.34965311,-1.01585792,-3.36550732,2.19068262
21,gxtb,gxTB,-8.76263051,7.37334330,16.13597381,-8.15057485,7.40297583,15.55356367,-0.61205566,-0.02963253,0.58241014,0.30602134
22,gxtb,gxTB,-12.61273388,10.43020563,23.04293951,-11.99106066,9.37211407,21.36319384,-0.62167322,1.05809156,1.67974567,1.36891862
23,gxtb,gxTB,-2.62027260,6.39825629,9.01852889,-4.84039032,9.05221735,13.89261539,2.22011772,-2.65396106,-4.87408650,3.76402378
24,gxtb,gxTB,-6.10613179,-0.66104988,5.44508191,-10.50979169,4.49112440,15.00093284,4.40365990,-5.15217428,-9.55585093,7.35401261
25,gxtb,gxTB,0.81435046,11.10548115,10.29113069,-2.32032463,12.89478450,15.21511283,3.13467509,-1.78930335,-4.92398214,3.35664275
26,gxtb,gxTB,2.36342668,2.26333263,-0.10009405,-1.22650033,15.60207321,16.82857549,3.58992701,-13.33874058,-16.92866954,15.13370506
27,gxtb,gxTB,7.47880882,3.55051778,-3.92829104,5.50564613,12.96668081,7.46102591,1.97316269,-9.41616303,-11.38931695,10.40273999
28,gxtb,gxTB,-3.46950002,-0.31354767,3.15595235,-7.95295089,7.40259993,15.35556350,4.48345087,-7.71614760,-12.19961115,9.95787938
29,gxtb,gxTB,-10.77188456,-4.74240932,6.02947524,-15.60721093,2.83745564,18.44469144,4.83532637,-7.57986496,-12.41521620,9.99754058
30,gxtb,gxTB,-20.74857652,-5.09902924,15.64954728,-25.85508830,4.40983573,30.26496523,5.10651178,-9.50886497,-14.61541795,12.06214146
31,gxtb,gxTB,-6.62821969,5.89373865,12.52195834,-17.16257659,5.58146390,22.74406784,10.53435690,0.31227475,-10.22210950,5.26719213
32,gxtb,gxTB,-3.34616303,6.25642032,9.60258335,-13.63762243,6.58794129,20.22558545,10.29145940,-0.33152097,-10.62300210,5.47726153
33,gxtb,gxTB,-0.98161939,8.24605213,9.22767152,-11.95080421,7.96715555,19.91797880,10.96918482,0.27889658,-10.69030728,5.48460193
34,gxtb,gxTB,-1.76114306,6.84253301,8.60367607,-12.75544212,7.37656350,20.13202595,10.99429906,-0.53403049,-11.52834988,6.03119018
35,gxtb,gxTB,-1.22626024,8.08787582,9.31413606,-12.74933420,7.28723264,20.03658717,11.52307396,0.80064317,-10.72245111,5.76154714
36,gxtb,gxTB,-7.02183758,6.49481117,13.51664875,-18.35055037,6.04442954,24.39500915,11.32871279,0.45038163,-10.87836040,5.66437101
37,gxtb,gxTB,-5.92655740,8.42062528,14.34718268,-15.61770673,8.02543836,23.64316998,9.69114933,0.39518692,-9.29598730,4.84558711
38,gxtb,gxTB,10.37322148,8.62646722,-1.74675426,10.08422346,9.47431264,-0.60992690,0.28899802,-0.84784541,-1.13682736,0.99233639
39,gxtb,gxTB,-3.78385719,0.94528659,4.72914378,1.19326725,3.78188169,2.58861253,-4.97712444,-2.83659510,2.14053125,2.48856317
40,gxtb,gxTB,13.64595336,8.56936386,-5.07658950,13.76146900,9.28861903,-4.47287190,-0.11551564,-0.71925517,-0.60371760,0.66148639
41,gxtb,gxTB,14.56443274,6.56919615,-7.99523659,14.37418149,6.77178901,-7.60241539,0.19025125,-0.20259286,-0.39282120,0.29770703
42,gxtb,gxTB,-20.36750882,6.32921142,26.69672024,-19.75293292,9.18336193,28.93632632,-0.61457590,-2.85415051,-2.23960608,2.54687829
43,gxtb,gxTB,-18.09759988,8.10919859,26.20679847,-21.22682342,7.52090931,28.74776656,3.12922354,0.58828928,-2.54096809,1.56462869
44,gxtb,gxTB,-12.63287694,0.33020805,12.96308499,-17.02782678,1.71160545,18.73945936,4.39494984,-1.38139740,-5.77637437,3.57888588
45,gxtb,gxTB,-10.04748759,10.17790916,20.22539675,-12.27883239,11.51278688,23.79163884,2.23134480,-1.33487772,-3.56624209,2.45055990
46,gxtb,gxTB,-23.92788478,-0.30308708,23.62479770,-30.02526600,0.36799971,30.39331356,6.09738122,-0.67108679,-6.76851586,3.71980132
47,gxtb,gxTB,1.53717864,10.18703942,8.64986078,-3.88446829,11.54783907,15.43231355,5.42164693,-1.36079965,-6.78245277,4.07162621
48,gxtb,gxTB,-22.59226219,0.71848582,23.31074801,-27.95446284,1.37785235,29.33235973,5.36220065,-0.65936653,-6.02161172,3.34048912
49,gxtb,gxTB,-35.30786369,7.65724115,42.96510484,-53.27066903,5.76958981,59.04034374,17.96280534,1.88765134,-16.07523890,8.98144512
50,gxtb,gxTB,-21.06155943,2.52210500,23.58366443,-28.59864169,0.52743266,29.12611992,7.53708226,1.99467234,-5.54245549,3.76856392
