species,charge,multiplicity,xyz_file,comment
30-TS,0,3,structures/reference/30-TS.xyz,hat3c-ts1-triplet0
31-P1,0,3,structures/reference/31-P1.xyz,SIL1-P1_rdkit_conf_1_wb97xd0_triplet
31-R1,0,3,structures/reference/31-R1.xyz,SIL1-R1_rdkit_conf_1_wb97xd0_triplet
31-TS,0,3,structures/reference/31-TS.xyz,sil1-ts1-wb97xd-unfrz-c10_triplet
32-P1,0,3,structures/reference/32-P1.xyz,SIL2-P1_rdkit_conf_1_wb97xd0_triplet
32-R1,0,3,structures/reference/32-R1.xyz,SIL2-R1_rdkit_conf_1_wb97xd0_triplet
32-TS,0,3,structures/reference/32-TS.xyz,sil2-ts1-wb97xd-unfrz-c10_triplet
33-P1,0,3,structures/reference/33-P1.xyz,SIL3-P1_rdkit_conf_13_wb97xd0_triplet
33-R1,0,3,structures/reference/33-R1.xyz,SIL3-R1_rdkit_conf_4_wb97xd0_triplet
33-TS,0,3,structures/reference/33-TS.xyz,sil3-ts1-wb97xd-frz-c10_triplet
34-P1,0,3,structures/reference/34-P1.xyz,SIL4-P1_rdkit_conf_5_wb97xd0_triplet
34-R1,0,3,structures/reference/34-R1.xyz,SIL4-R1_rdkit_conf_4_wb97xd0_triplet
34-TS,0,3,structures/reference/34-TS.xyz,sil4-ts1-wb97xd-c60_triplet
35-P1,0,3,structures/reference/35-P1.xyz,SIL5-P1_rdkit_conf_14_wb97xd0_triplet
35-R1,0,3,structures/reference/35-R1.xyz,SIL5-R1_rdkit_conf_6_wb97xd0_triplet
35-TS,0,3,structures/reference/35-TS.xyz,sil5-ts1-wb97xd-c20_triplet
36-P1,0,3,structures/reference/36-P1.xyz,SIL6-P1_rdkit_conf_1_wb97xd0_triplet
36-R1,0,3,structures/reference/36-R1.xyz,SIL6-R1_rdkit_conf_2_wb97xd0_triplet
36-TS,0,3,structures/reference/36-TS.xyz,sil6-ts1-wb97xd-frz-c10_triplet
37-P1,0,3,structures/reference/37-P1.xyz,SIL7-P1_rdkit_conf_2_wb97xd0_triplet
37-R1,0,3,structures/reference/37-R1.xyz,SIL7-R1_rdkit_conf_1_wb97xd0_triplet
37-TS,0,3,structures/reference/37-TS.xyz,sil7-ts1-wb97xd-frz-c10_triplet
38-P1,0,2,structures/reference/38-P1.xyz,ent1-p1-doublet-wb97xd0
38-P2,0,2,structures/reference/38-P2.xyz,chloride-doublet-wb97xd0
38-R1,0,3,structures/reference/38-R1.xyz,ent1-r1-triplet-wb97xd0
38-TS,0,3,structures/reference/38-TS.xyz,ent1-ts1-triplet-wb97xd0
39-P2,0,2,structures/reference/39-P2.xyz,bromide-doublet-wb97xd0
39-R1,0,3,structures/reference/39-R1.xyz,ent1b-r1-triplet-wb97xd0
39-TS,0,3,structures/reference/39-TS.xyz,ent1b-ts1-triplet-c1-wb97xd0
4-P1,0,3,structures/reference/4-P1.xyz,CA1-P2_rdkit_conf_1_wb97xd0_triplet
4-TS,0,3,structures/reference/4-TS.xyz,ca1-ts2-triplet-wb97xd-conf20
40-P1,0,2,structures/reference/40-P1.xyz,ent1c-p1-doublet-wb97xd0
40-R1,0,3,structures/reference/40-R1.xyz,ent1c-r1-triplet-wb97xd0
40-TS,0,3,structures/reference/40-TS.xyz,ent1c-ts1-triplet-c3-wb97xd0
41-P1,0,2,structures/reference/41-P1.xyz,ent1d-p1-doublet-wb97xd0
41-R1,0,3,structures/reference/41-R1.xyz,ent1d-r1-triplet-wb97xd0
41-TS,0,3,structures/reference/41-TS.xyz,ent1d-ts1-triplet-c1-wb97xd0
42-P1,0,3,structures/reference/42-P1.xyz,CA4-P1_rdkit_conf_1_wb97xd0_triplet
42-R1,0,3,structures/reference/42-R1.xyz,ca4-r2-triplet-wb97xd0
42-TS,0,3,structures/reference/42-TS.xyz,ca4-ts1-triplet-wb97xd-c20
43-P1,0,3,structures/reference/43-P1.xyz,N1-I1_rdkit_conf_1_wb97xd0_triplet
43-R1,0,3,structures/reference/43-R1.xyz,n1-r1-triplet-r-wb97xd0
43-TS,0,3,structures/reference/43-TS.xyz,n1-ts1-triplet-wb97xd-c10
44-P1,0,1,structures/reference/44-P1.xyz,dinitrogen-neutral-wb97xd0_singlet
44-P2,0,3,structures/reference/44-P2.xyz,n1-p1-triplet-wb97xd0
44-TS,0,3,structures/reference/44-TS.xyz,n1-ts2-triplet-wb97xd-c10
45-P1,0,3,structures/reference/45-P1.xyz,n2-i1-triplet-wb97xd0
45-R1,0,3,structures/reference/45-R1.xyz,n2-r1-triplet-wb97xd0
45-TS,0,3,structures/reference/45-TS.xyz,n2-ts1-triplet-wb97xd-c10
46-P1,0,3,structures/reference/46-P1.xyz,n2-p1-triplet-wb97xd0
46-TS,0,3,structures/reference/46-TS.xyz,n2-ts2-triplet-wb97xd-conf20
47-P1,0,3,structures/reference/47-P1.xyz,n5-i1-triplet0
47-R1,0,3,structures/reference/47-R1.xyz,n5-r1-triplet0
47-TS,0,3,structures/reference/47-TS.xyz,n5-ts1-triplet0
48-P1,0,3,structures/reference/48-P1.xyz,FRAG2-P1_rdkit_conf_134_wb97xd0_triplet
48-R1,0,3,structures/reference/48-R1.xyz,FRAG2-I1_rdkit_conf_50_wb97xd0_triplet
48-TS,0,3,structures/reference/48-TS.xyz,frag2-ts2-triplet-unfrz-conf100
49-P1,0,3,structures/reference/49-P1.xyz,ENT2-P1_rdkit_conf_1_wb97xd0_triplet
49-R1,0,3,structures/reference/49-R1.xyz,ent2-r1-triplet-wb97xd0
49-TS,0,3,structures/reference/49-TS.xyz,ent2-ts1-triplet-wb97xd-c10
5-P1,0,3,structures/reference/5-P1.xyz,CA6-P1_rdkit_conf_3_wb97xd0_triplet
5-R1,0,1,structures/reference/5-R1.xyz,cyanoethene-singlet-wb97xd0
5-R2,0,3,structures/reference/5-R2.xyz,cyclopentenone-triplet-wb97xd0
5-TS,0,3,structures/reference/5-TS.xyz,ca6-ts1-triplet-wb97xd-conf20
50-R1,0,3,structures/reference/50-R1.xyz,FRAG2-R1_rdkit_conf_1_wb97xd0-triplet
50-R2,0,1,structures/reference/50-R2.xyz,FRAG2-R2_rdkit_conf_1_wb97xd_singlet
50-TS,0,3,structures/reference/50-TS.xyz,frag2-ts1-triplet-wb97xd-c5-r0
6-P1,0,3,structures/reference/6-P1.xyz,CA6-P2_rdkit_conf_6_wb97xd0_triplet
6-TS,0,3,structures/reference/6-TS.xyz,ca6-ts2-triplet-wb97xd-conf20
7-P1,0,3,structures/reference/7-P1.xyz,CA7-P1_rdkit_conf_7_wb97xd0_triplet
7-R1,0,3,structures/reference/7-R1.xyz,CA7-R1_rdkit_conf_1_wb97xd0_triplet
7-TS,0,3,structures/reference/7-TS.xyz,ca7-ts1-triplet-wb97xd-c10
8-P1,0,3,structures/reference/8-P1.xyz,CARB1-P1_rdkit_conf_1_wb97xd0_triplet
8-R1,0,1,structures/reference/8-R1.xyz,butene-singlet-wb97xd0
8-R2,0,3,structures/reference/8-R2.xyz,dichlorocarbene-triplet-wb97xd0
8-TS,0,3,structures/reference/8-TS.xyz,carb1-ts1-triplet-wb97xd0
9-P1,0,3,structures/reference/9-P1.xyz,CYC1-P1_rdkit_conf_1_wb97xd0_triplet
9-R1,0,3,structures/reference/9-R1.xyz,cyc1-r1-triplet-wb97xd0
9-TS,0,3,structures/reference/9-TS.xyz,cyc1-ts1-triplet-wb97xd0
