species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,output_file,error
23-R1,gxtb,gxtb,-8460.914187037197,-310.932861360000,,19,0,3,cpu,1,0.06055972,0.06055972,0.06055972,0.00000000,completed,structures/reference/23-R1.xyz,calculations/gxtb/raw_outputs/23-R1/gxtb.out,
23-TS,gxtb,gxtb,-8460.636732395958,-310.922665090000,,19,0,3,cpu,1,0.06079537,0.06079537,0.06079537,0.00000000,completed,structures/reference/23-TS.xyz,calculations/gxtb/raw_outputs/23-TS/gxtb.out,
24-P1,gxtb,gxtb,-12609.600310586975,-463.394264320000,,23,0,3,cpu,1,0.08975640,0.08975640,0.08975640,0.00000000,completed,structures/reference/24-P1.xyz,calculations/gxtb/raw_outputs/24-P1/gxtb.out,
24-R1,gxtb,gxtb,-12609.335523662376,-463.384533580000,,23,0,3,cpu,1,0.12004927,0.12004927,0.12004927,0.00000000,completed,structures/reference/24-R1.xyz,calculations/gxtb/raw_outputs/24-R1/gxtb.out,
24-TS,gxtb,gxtb,-12609.364189497217,-463.385587030000,,23,0,3,cpu,1,0.11503035,0.11503035,0.11503035,0.00000000,completed,structures/reference/24-TS.xyz,calculations/gxtb/raw_outputs/24-TS/gxtb.out,
25-P1,gxtb,gxtb,-10488.483829106981,-385.444671370000,,18,0,2,cpu,1,0.11988999,0.11988999,0.11988999,0.00000000,completed,structures/reference/25-P1.xyz,calculations/gxtb/raw_outputs/25-P1/gxtb.out,
25-R1,gxtb,gxtb,-10470.200084803117,-384.772756160000,,17,0,3,cpu,1,0.06427856,0.06427856,0.06427856,0.00000000,completed,structures/reference/25-R1.xyz,calculations/gxtb/raw_outputs/25-R1/gxtb.out,
25-R2,gxtb,gxtb,-1101.895591337618,-40.493916090000,,5,0,1,cpu,1,0.02250862,0.02250862,0.02250862,0.00000000,completed,structures/reference/25-R2.xyz,calculations/gxtb/raw_outputs/25-R2/gxtb.out,
25-TS,gxtb,gxtb,-11571.614096918256,-425.248974540000,,22,0,3,cpu,1,0.11879797,0.11879797,0.11879797,0.00000000,completed,structures/reference/25-TS.xyz,calculations/gxtb/raw_outputs/25-TS/gxtb.out,
26-P2,gxtb,gxtb,-3130.643269284992,-115.049018120000,,5,0,2,cpu,1,0.02573599,0.02573599,0.02573599,0.00000000,completed,structures/reference/26-P2.xyz,calculations/gxtb/raw_outputs/26-P2/gxtb.out,
26-R2,gxtb,gxtb,-3149.029501465558,-115.724699690000,,6,0,1,cpu,1,0.02521597,0.02521597,0.02521597,0.00000000,completed,structures/reference/26-R2.xyz,calculations/gxtb/raw_outputs/26-R2/gxtb.out,
26-TS,gxtb,gxtb,-13619.131438880195,-500.493849000000,,23,0,3,cpu,1,0.11077487,0.11077487,0.11077487,0.00000000,completed,structures/reference/26-TS.xyz,calculations/gxtb/raw_outputs/26-TS/gxtb.out,
27-P1,gxtb,gxtb,-2061.168559462007,-75.746547450000,,2,0,2,cpu,1,0.02313659,0.02313659,0.02313659,0.00000000,completed,structures/reference/27-P1.xyz,calculations/gxtb/raw_outputs/27-P1/gxtb.out,
27-P2,gxtb,gxtb,-14945.116770720711,-549.222911160000,,4,0,2,cpu,1,0.02743830,0.02743830,0.02743830,0.00000000,completed,structures/reference/27-P2.xyz,calculations/gxtb/raw_outputs/27-P2/gxtb.out,
27-R1,gxtb,gxtb,-14926.647261085795,-548.544169200000,,3,0,3,cpu,1,0.02719142,0.02719142,0.02719142,0.00000000,completed,structures/reference/27-R1.xyz,calculations/gxtb/raw_outputs/27-R1/gxtb.out,
27-R2,gxtb,gxtb,-2079.962380928939,-76.437207650000,,3,0,1,cpu,1,0.02106399,0.02106399,0.02106399,0.00000000,completed,structures/reference/27-R2.xyz,calculations/gxtb/raw_outputs/27-R2/gxtb.out,
27-TS,gxtb,gxtb,-17006.455676998103,-624.975718740000,,6,0,3,cpu,1,0.03425337,0.03425337,0.03425337,0.00000000,completed,structures/reference/27-TS.xyz,calculations/gxtb/raw_outputs/27-TS/gxtb.out,
28-TS,gxtb,gxtb,-16028.556449136777,-589.038584960000,,8,0,3,cpu,1,0.03889106,0.03889106,0.03889106,0.00000000,completed,structures/reference/28-TS.xyz,calculations/gxtb/raw_outputs/28-TS/gxtb.out,
29-P1,gxtb,gxtb,-4292.580792809912,-157.749434520000,,13,0,2,cpu,1,0.04982942,0.04982942,0.04982942,0.00000000,completed,structures/reference/29-P1.xyz,calculations/gxtb/raw_outputs/29-P1/gxtb.out,
29-R1,gxtb,gxtb,-4310.583189339508,-158.411010390000,,14,0,1,cpu,1,0.04019691,0.04019691,0.04019691,0.00000000,completed,structures/reference/29-R1.xyz,calculations/gxtb/raw_outputs/29-R1/gxtb.out,
29-TS,gxtb,gxtb,-19237.436100748972,-706.962737100000,,17,0,3,cpu,1,0.07156556,0.07156556,0.07156556,0.00000000,completed,structures/reference/29-TS.xyz,calculations/gxtb/raw_outputs/29-TS/gxtb.out,
3-P1,gxtb,gxtb,-22700.721805765690,-834.236139260000,,21,0,3,cpu,1,0.10347084,0.10347084,0.10347084,0.00000000,completed,structures/reference/3-P1.xyz,calculations/gxtb/raw_outputs/3-P1/gxtb.out,
3-R1,gxtb,gxtb,-22700.191695852187,-834.216658080000,,21,0,3,cpu,1,0.09411337,0.09411337,0.09411337,0.00000000,completed,structures/reference/3-R1.xyz,calculations/gxtb/raw_outputs/3-R1/gxtb.out,
3-TS,gxtb,gxtb,-22699.653340072302,-834.196873870000,,21,0,3,cpu,1,0.10514130,0.10514130,0.10514130,0.00000000,completed,structures/reference/3-TS.xyz,calculations/gxtb/raw_outputs/3-TS/gxtb.out,
30-P1,gxtb,gxtb,-3190.112867650749,-117.234485550000,,8,0,2,cpu,1,0.03089807,0.03089807,0.03089807,0.00000000,completed,structures/reference/30-P1.xyz,calculations/gxtb/raw_outputs/30-P1/gxtb.out,
30-R1,gxtb,gxtb,-3207.682633887900,-117.880162550000,,9,0,1,cpu,1,0.02919456,0.02919456,0.02919456,0.00000000,completed,structures/reference/30-R1.xyz,calculations/gxtb/raw_outputs/30-R1/gxtb.out,
30-TS,gxtb,gxtb,-18134.551009800278,-666.432457570000,,12,0,3,cpu,1,0.05388109,0.05388109,0.05388109,0.00000000,completed,structures/reference/30-TS.xyz,calculations/gxtb/raw_outputs/30-TS/gxtb.out,
31-P1,gxtb,gxtb,-20520.987214005912,-754.132370490000,,26,0,3,cpu,1,0.12242026,0.12242026,0.12242026,0.00000000,completed,structures/reference/31-P1.xyz,calculations/gxtb/raw_outputs/31-P1/gxtb.out,
31-R1,gxtb,gxtb,-20520.699787207956,-754.121807750000,,26,0,3,cpu,1,0.12750134,0.12750134,0.12750134,0.00000000,completed,structures/reference/31-R1.xyz,calculations/gxtb/raw_outputs/31-R1/gxtb.out,
31-TS,gxtb,gxtb,-20520.444210521258,-754.112415480000,,26,0,3,cpu,1,0.11810212,0.11810212,0.11810212,0.00000000,completed,structures/reference/31-TS.xyz,calculations/gxtb/raw_outputs/31-TS/gxtb.out,
32-P1,gxtb,gxtb,-15302.935977212393,-562.372524460000,,19,0,3,cpu,1,0.06972886,0.06972886,0.06972886,0.00000000,completed,structures/reference/32-P1.xyz,calculations/gxtb/raw_outputs/32-P1/gxtb.out,
32-R1,gxtb,gxtb,-15302.790873855807,-562.367192010000,,19,0,3,cpu,1,0.06301508,0.06301508,0.06301508,0.00000000,completed,structures/reference/32-R1.xyz,calculations/gxtb/raw_outputs/32-R1/gxtb.out,
32-TS,gxtb,gxtb,-15302.519569804201,-562.357221770000,,19,0,3,cpu,1,0.06820387,0.06820387,0.06820387,0.00000000,completed,structures/reference/32-TS.xyz,calculations/gxtb/raw_outputs/32-TS/gxtb.out,
33-P1,gxtb,gxtb,-18478.343554316096,-679.066600550000,,26,0,3,cpu,1,0.09399894,0.09399894,0.09399894,0.00000000,completed,structures/reference/33-P1.xyz,calculations/gxtb/raw_outputs/33-P1/gxtb.out,
33-R1,gxtb,gxtb,-18478.300987272480,-679.065036240000,,26,0,3,cpu,1,0.09830844,0.09830844,0.09830844,0.00000000,completed,structures/reference/33-R1.xyz,calculations/gxtb/raw_outputs/33-R1/gxtb.out,
33-TS,gxtb,gxtb,-18477.943404622729,-679.051895320000,,26,0,3,cpu,1,0.09934624,0.09934624,0.09934624,0.00000000,completed,structures/reference/33-TS.xyz,calculations/gxtb/raw_outputs/33-TS/gxtb.out,
34-P1,gxtb,gxtb,-31018.032952050860,-1139.891686210000,,28,0,3,cpu,1,0.11001707,0.11001707,0.11001707,0.00000000,completed,structures/reference/34-P1.xyz,calculations/gxtb/raw_outputs/34-P1/gxtb.out,
34-R1,gxtb,gxtb,-31017.956581662682,-1139.888879650000,,28,0,3,cpu,1,0.11520127,0.11520127,0.11520127,0.00000000,completed,structures/reference/34-R1.xyz,calculations/gxtb/raw_outputs/34-R1/gxtb.out,
34-TS,gxtb,gxtb,-31017.659861359978,-1139.877975380000,,28,0,3,cpu,1,0.11512198,0.11512198,0.11512198,0.00000000,completed,structures/reference/34-TS.xyz,calculations/gxtb/raw_outputs/34-TS/gxtb.out,
35-P1,gxtb,gxtb,-88537.995351529447,-3253.711315960000,,28,0,3,cpu,1,0.10573710,0.10573710,0.10573710,0.00000000,completed,structures/reference/35-P1.xyz,calculations/gxtb/raw_outputs/35-P1/gxtb.out,
35-R1,gxtb,gxtb,-88537.942175854798,-3253.709361790000,,28,0,3,cpu,1,0.11127707,0.11127707,0.11127707,0.00000000,completed,structures/reference/35-R1.xyz,calculations/gxtb/raw_outputs/35-R1/gxtb.out,
35-TS,gxtb,gxtb,-88537.591452379187,-3253.696472940000,,28,0,3,cpu,1,0.11403703,0.11403703,0.11403703,0.00000000,completed,structures/reference/35-TS.xyz,calculations/gxtb/raw_outputs/35-TS/gxtb.out,
36-P1,gxtb,gxtb,-29249.604658071268,-1074.903145090000,,23,0,3,cpu,1,0.13167863,0.13167863,0.13167863,0.00000000,completed,structures/reference/36-P1.xyz,calculations/gxtb/raw_outputs/36-P1/gxtb.out,
36-R1,gxtb,gxtb,-29249.300162387059,-1074.891955080000,,23,0,3,cpu,1,0.09712158,0.09712158,0.09712158,0.00000000,completed,structures/reference/36-R1.xyz,calculations/gxtb/raw_outputs/36-R1/gxtb.out,
36-TS,gxtb,gxtb,-29249.018520729820,-1074.881604940000,,23,0,3,cpu,1,0.10642369,0.10642369,0.10642369,0.00000000,completed,structures/reference/36-TS.xyz,calculations/gxtb/raw_outputs/36-TS/gxtb.out,
37-P1,gxtb,gxtb,-20461.215364351086,-751.935795530000,,23,0,3,cpu,1,0.10004185,0.10004185,0.10004185,0.00000000,completed,structures/reference/37-P1.xyz,calculations/gxtb/raw_outputs/37-P1/gxtb.out,
37-R1,gxtb,gxtb,-20460.958364508890,-751.926350960000,,23,0,3,cpu,1,0.10031715,0.10031715,0.10031715,0.00000000,completed,structures/reference/37-R1.xyz,calculations/gxtb/raw_outputs/37-R1/gxtb.out,
37-TS,gxtb,gxtb,-20460.593211651489,-751.912931840000,,23,0,3,cpu,1,0.09934021,0.09934021,0.09934021,0.00000000,completed,structures/reference/37-TS.xyz,calculations/gxtb/raw_outputs/37-TS/gxtb.out,
38-P1,gxtb,gxtb,-9477.614106056426,-348.295894240000,,18,0,2,cpu,1,0.07079844,0.07079844,0.07079844,0.00000000,completed,structures/reference/38-P1.xyz,calculations/gxtb/raw_outputs/38-P1/gxtb.out,
38-P2,gxtb,gxtb,-12520.662933337466,-460.125875990000,,1,0,2,cpu,1,0.02200430,0.02200430,0.02200430,0.00000000,completed,structures/reference/38-P2.xyz,calculations/gxtb/raw_outputs/38-P2/gxtb.out,
38-R1,gxtb,gxtb,-21998.726864833421,-808.438301010000,,19,0,3,cpu,1,0.11115699,0.11115699,0.11115699,0.00000000,completed,structures/reference/38-R1.xyz,calculations/gxtb/raw_outputs/38-R1/gxtb.out,
38-TS,gxtb,gxtb,-21998.352785824987,-808.424553860000,,19,0,3,cpu,1,0.13349422,0.13349422,0.13349422,0.00000000,completed,structures/reference/38-TS.xyz,calculations/gxtb/raw_outputs/38-TS/gxtb.out,
39-P2,gxtb,gxtb,-70041.343898450388,-2573.971912540000,,1,0,2,cpu,1,0.02373989,0.02373989,0.02373989,0.00000000,completed,structures/reference/39-P2.xyz,calculations/gxtb/raw_outputs/39-P2/gxtb.out,
39-R1,gxtb,gxtb,-79518.793920936194,-2922.261776820000,,19,0,3,cpu,1,0.10500848,0.10500848,0.10500848,0.00000000,completed,structures/reference/39-R1.xyz,calculations/gxtb/raw_outputs/39-R1/gxtb.out,
39-TS,gxtb,gxtb,-79518.752929431837,-2922.260270410000,,19,0,3,cpu,1,0.10382991,0.10382991,0.10382991,0.00000000,completed,structures/reference/39-TS.xyz,calculations/gxtb/raw_outputs/39-TS/gxtb.out,
4-P1,gxtb,gxtb,-22700.903620003464,-834.242820810000,,21,0,3,cpu,1,0.10425434,0.10425434,0.10425434,0.00000000,completed,structures/reference/4-P1.xyz,calculations/gxtb/raw_outputs/4-P1/gxtb.out,
4-TS,gxtb,gxtb,-22699.677096700951,-834.197746910000,,21,0,3,cpu,1,0.11314768,0.11314768,0.11314768,0.00000000,completed,structures/reference/4-TS.xyz,calculations/gxtb/raw_outputs/4-TS/gxtb.out,
40-P1,gxtb,gxtb,-12594.019704031482,-462.821687590000,,22,0,2,cpu,1,0.15018283,0.15018283,0.15018283,0.00000000,completed,structures/reference/40-P1.xyz,calculations/gxtb/raw_outputs/40-P1/gxtb.out,
40-R1,gxtb,gxtb,-25115.274381888641,-922.969309790000,,23,0,3,cpu,1,0.12303690,0.12303690,0.12303690,0.00000000,completed,structures/reference/40-R1.xyz,calculations/gxtb/raw_outputs/40-R1/gxtb.out,
40-TS,gxtb,gxtb,-25114.902779116361,-922.955653640000,,23,0,3,cpu,1,0.10251899,0.10251899,0.10251899,0.00000000,completed,structures/reference/40-TS.xyz,calculations/gxtb/raw_outputs/40-TS/gxtb.out,
41-P1,gxtb,gxtb,-22387.176284982364,-822.713553900000,,21,0,2,cpu,1,0.11101635,0.11101635,0.11101635,0.00000000,completed,structures/reference/41-P1.xyz,calculations/gxtb/raw_outputs/41-P1/gxtb.out,
41-R1,gxtb,gxtb,-34908.470791873464,-1282.862639790000,,22,0,3,cpu,1,0.13567453,0.13567453,0.13567453,0.00000000,completed,structures/reference/41-R1.xyz,calculations/gxtb/raw_outputs/41-R1/gxtb.out,
41-TS,gxtb,gxtb,-34908.185924578494,-1282.852171110000,,22,0,3,cpu,1,0.14794462,0.14794462,0.14794462,0.00000000,completed,structures/reference/41-TS.xyz,calculations/gxtb/raw_outputs/41-TS/gxtb.out,
42-P1,gxtb,gxtb,-13860.841652677946,-509.376535520000,,17,0,3,cpu,1,0.06991128,0.06991128,0.06991128,0.00000000,completed,structures/reference/42-P1.xyz,calculations/gxtb/raw_outputs/42-P1/gxtb.out,
42-R1,gxtb,gxtb,-11721.940159358115,-430.773355440000,,11,0,3,cpu,1,0.05393439,0.05393439,0.05393439,0.00000000,completed,structures/reference/42-R1.xyz,calculations/gxtb/raw_outputs/42-R1/gxtb.out,
42-TS,gxtb,gxtb,-13859.683973366293,-509.333991590000,,17,0,3,cpu,1,0.08577469,0.08577469,0.08577469,0.00000000,completed,structures/reference/42-TS.xyz,calculations/gxtb/raw_outputs/42-TS/gxtb.out,
43-P1,gxtb,gxtb,-8291.218156721536,-304.696647270000,,15,0,3,cpu,1,0.05469753,0.05469753,0.05469753,0.00000000,completed,structures/reference/43-P1.xyz,calculations/gxtb/raw_outputs/43-P1/gxtb.out,
