species,functional,program,energy_hartree,wall_time_seconds,cpu_time_seconds,cpu_time_source,nprocs,completed,output_file
13-R1,B2GP-PLYP-D4,ORCA,-192.936614774161,43.545,174.18,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/13-R1_B2GP-PLYP-D4.out
13-R2,B2GP-PLYP-D4,ORCA,-262.947185563573,30.873,123.492,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/13-R2_B2GP-PLYP-D4.out
13-TS,B2GP-PLYP-D4,ORCA,-455.867086070081,544.408,2177.632,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/13-TS_B2GP-PLYP-D4.out
14-P1,B2GP-PLYP-D4,ORCA,-388.173101046667,101.058,808.464,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/14-P1_B2GP-PLYP-D4.out
14-R1,B2GP-PLYP-D4,ORCA,-192.929549740934,14.254,114.032,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/14-R1_B2GP-PLYP-D4.out
14-R2,B2GP-PLYP-D4,ORCA,-195.168951214656,15.183,121.464,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/14-R2_B2GP-PLYP-D4.out
14-TS,B2GP-PLYP-D4,ORCA,-388.123456182648,103.482,827.856,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/14-TS_B2GP-PLYP-D4.out
15-P1,B2GP-PLYP-D4,ORCA,-384.81563013154,206.693,826.772,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/15-P1_B2GP-PLYP-D4.out
15-R1,B2GP-PLYP-D4,ORCA,-306.266351103689,73.015,292.06,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/15-R1_B2GP-PLYP-D4.out
15-R2,B2GP-PLYP-D4,ORCA,-78.536970974891,4.063,32.504,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/15-R2_B2GP-PLYP-D4.out
15-TS,B2GP-PLYP-D4,ORCA,-384.763859746598,225.682,902.728,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/15-TS_B2GP-PLYP-D4.out
16-P1,B2GP-PLYP-D4,ORCA,-460.012543656309,79.522,636.176,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/16-P1_B2GP-PLYP-D4.out
16-R1,B2GP-PLYP-D4,ORCA,-381.460245418593,36.487,291.896,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/16-R1_B2GP-PLYP-D4.out
16-TS,B2GP-PLYP-D4,ORCA,-459.970839586656,83.119,664.952,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/16-TS_B2GP-PLYP-D4.out
17-P1,B2GP-PLYP-D4,ORCA,-647.351990478912,360.544,1442.176,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/17-P1_B2GP-PLYP-D4.out
17-R2,B2GP-PLYP-D4,ORCA,-341.063892162565,36.404,145.616,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/17-R2_B2GP-PLYP-D4.out
17-TS,B2GP-PLYP-D4,ORCA,-647.311567636822,393.954,1575.816,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/17-TS_B2GP-PLYP-D4.out
18-P1,B2GP-PLYP-D4,ORCA,-555.095537460722,29.959,239.672,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/18-P1_B2GP-PLYP-D4.out
18-R1,B2GP-PLYP-D4,ORCA,-397.961929102415,1.77,14.16,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/18-R1_B2GP-PLYP-D4.out
18-TS,B2GP-PLYP-D4,ORCA,-555.082614973481,45.803,366.424,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/18-TS_B2GP-PLYP-D4.out
19-P1,B2GP-PLYP-D4,ORCA,-553.858585501139,32.298,258.384,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/19-P1_B2GP-PLYP-D4.out
19-R2,B2GP-PLYP-D4,ORCA,-155.89498166576,10.057,80.456,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/19-R2_B2GP-PLYP-D4.out
19-TS,B2GP-PLYP-D4,ORCA,-553.849662326125,36.793,294.344,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/19-TS_B2GP-PLYP-D4.out
2-P1,B2GP-PLYP-D4,ORCA,-616.475224297354,260.659,3127.908,estimated_from_wall_time_and_nprocs,12,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/2-P1_B2GP-PLYP-D4.out
2-TS,B2GP-PLYP-D4,ORCA,-616.444975432003,303.311,3639.732,estimated_from_wall_time_and_nprocs,12,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/2-TS_B2GP-PLYP-D4.out
20-P1,B2GP-PLYP-D4,ORCA,-779.940622823259,66.793,534.344,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/20-P1_B2GP-PLYP-D4.out
20-P2,B2GP-PLYP-D4,ORCA,-231.422827104614,27.069,216.552,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/20-P2_B2GP-PLYP-D4.out
20-R1,B2GP-PLYP-D4,ORCA,-1011.360373199353,313.619,2508.952,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/20-R1_B2GP-PLYP-D4.out
20-TS,B2GP-PLYP-D4,ORCA,-1011.347115846907,307.976,2463.808,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/20-TS_B2GP-PLYP-D4.out
21-P1,B2GP-PLYP-D4,ORCA,-914.183492675698,189.974,1519.792,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/21-P1_B2GP-PLYP-D4.out
21-R1,B2GP-PLYP-D4,ORCA,-914.173272913074,180.265,1442.12,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/21-R1_B2GP-PLYP-D4.out
21-TS,B2GP-PLYP-D4,ORCA,-914.160613961442,180.173,1441.384,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/21-TS_B2GP-PLYP-D4.out
22-P1,B2GP-PLYP-D4,ORCA,-594.94094206757,177.959,2135.508,estimated_from_wall_time_and_nprocs,12,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/22-P1_B2GP-PLYP-D4.out
22-R1,B2GP-PLYP-D4,ORCA,-594.921483047063,180.152,2161.8239999999996,estimated_from_wall_time_and_nprocs,12,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/22-R1_B2GP-PLYP-D4.out
22-TS,B2GP-PLYP-D4,ORCA,-594.90683863703,185.853,2230.236,estimated_from_wall_time_and_nprocs,12,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/22-TS_B2GP-PLYP-D4.out
23-P1,B2GP-PLYP-D4,ORCA,-310.81068122919,66.096,528.768,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/23-P1_B2GP-PLYP-D4.out
23-R1,B2GP-PLYP-D4,ORCA,-310.80260134167,67.035,536.28,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/23-R1_B2GP-PLYP-D4.out
23-TS,B2GP-PLYP-D4,ORCA,-310.789516361146,69.944,559.552,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/23-TS_B2GP-PLYP-D4.out
24-P1,B2GP-PLYP-D4,ORCA,-463.17665690743,191.313,1530.504,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/24-P1_B2GP-PLYP-D4.out
24-R1,B2GP-PLYP-D4,ORCA,-463.155419799504,210.893,1687.144,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/24-R1_B2GP-PLYP-D4.out
24-TS,B2GP-PLYP-D4,ORCA,-463.149547999936,195.782,1566.256,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/24-TS_B2GP-PLYP-D4.out
25-P1,B2GP-PLYP-D4,ORCA,-385.255260815662,305.828,1223.312,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/25-P1_B2GP-PLYP-D4.out
25-P2,B2GP-PLYP-D4,ORCA,-39.810040437523,8.227,32.908,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/25-P2_B2GP-PLYP-D4.out
25-R1,B2GP-PLYP-D4,ORCA,-384.576603503794,238.755,955.02,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/25-R1_B2GP-PLYP-D4.out
25-R2,B2GP-PLYP-D4,ORCA,-40.486531190929,2.74,21.92,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/25-R2_B2GP-PLYP-D4.out
25-TS,B2GP-PLYP-D4,ORCA,-425.043148129815,441.864,1767.456,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/25-TS_B2GP-PLYP-D4.out
26-P2,B2GP-PLYP-D4,ORCA,-115.004484879049,14.221,56.884,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/26-P2_B2GP-PLYP-D4.out
26-R2,B2GP-PLYP-D4,ORCA,-115.680965649804,13.143,52.572,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/26-R2_B2GP-PLYP-D4.out
26-TS,B2GP-PLYP-D4,ORCA,-500.243882042369,527.955,2111.82,estimated_from_wall_time_and_nprocs,4,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/26-TS_B2GP-PLYP-d4.out
27-P1,B2GP-PLYP-D4,ORCA,-75.716924515636,1.996,15.968,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/27-P1_B2GP-PLYP-D4.out
27-P2,B2GP-PLYP-D4,ORCA,-549.038039792309,5.188,41.504,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/27-P2_B2GP-PLYP-D4.out
27-R1,B2GP-PLYP-D4,ORCA,-548.350834912824,4.001,32.008,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/27-R1_B2GP-PLYP-D4.out
27-R2,B2GP-PLYP-D4,ORCA,-76.413617777854,1.9449999999999998,15.559999999999999,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/27-R2_B2GP-PLYP-D4.out
27-TS,B2GP-PLYP-D4,ORCA,-624.746850753738,14.262,114.096,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/27-TS_B2GP-PLYP-D4.out
28-R1,B2GP-PLYP-D4,ORCA,-40.486531190929,2.74,21.92,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/28-R1_B2GP-PLYP-D4.out
28-TS,B2GP-PLYP-D4,ORCA,-588.825876811364,14.928,119.424,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/28-TS_B2GP-PLYP-D4.out
29-P1,B2GP-PLYP-D4,ORCA,-157.689542252066,21.629,173.032,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/29-P1_B2GP-PLYP-D4.out
29-R1,B2GP-PLYP-D4,ORCA,-158.351784078201,17.055,136.44,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/29-R1_B2GP-PLYP-D4.out
29-TS,B2GP-PLYP-D4,ORCA,-706.696829561282,81.908,655.264,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/29-TS_B2GP-PLYP-D4.out
3-P1,B2GP-PLYP-D4,ORCA,-833.892337055555,182.359,1458.872,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/3-P1_B2GP-PLYP-D4.out
3-R1,B2GP-PLYP-D4,ORCA,-833.87776934358,148.397,1187.176,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/3-R1_B2GP-PLYP-D4.out
3-TS,B2GP-PLYP-D4,ORCA,-833.855043514034,184.623,1476.984,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/3-TS_B2GP-PLYP-D4.out
30-P1,B2GP-PLYP-D4,ORCA,-117.18177027925,9.708,77.664,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/30-P1_B2GP-PLYP-D4.out
30-R1,B2GP-PLYP-D4,ORCA,-117.830629030169,8.493,67.944,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/30-R1_B2GP-PLYP-D4.out
30-TS,B2GP-PLYP-D4,ORCA,-666.173750471631,39.107,312.856,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/30-TS_B2GP-PLYP-D4.out
31-P1,B2GP-PLYP-D4,ORCA,-753.795120533635,582.095,1164.19,estimated_from_wall_time_and_nprocs,2,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/31-P1_B2GP-PLYP-D4.out
31-R1,B2GP-PLYP-D4,ORCA,-753.768494814315,1024.46,2048.92,estimated_from_wall_time_and_nprocs,2,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/31-R1_B2GP-PLYP-D4.out
31-TS,B2GP-PLYP-D4,ORCA,-753.759892980042,928.416,1856.832,estimated_from_wall_time_and_nprocs,2,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/31-TS_B2GP-PLYP-D4.out
32-P1,B2GP-PLYP-D4,ORCA,-562.149986300172,65.853,526.824,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/32-P1_B2GP-PLYP-D4.out
32-R1,B2GP-PLYP-D4,ORCA,-562.127749771115,69.437,555.496,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/32-R1_B2GP-PLYP-D4.out
32-TS,B2GP-PLYP-D4,ORCA,-562.117810630501,63.74,509.92,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/32-TS_B2GP-PLYP-D4.out
33-P1,B2GP-PLYP-D4,ORCA,-678.785243117314,2640.053,5280.106,estimated_from_wall_time_and_nprocs,2,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/33-P1_B2GP-PLYP-D4.out
33-R1,B2GP-PLYP-D4,ORCA,-678.76587530033,164.283,1314.264,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/33-R1_B2GP-PLYP-D4.out
33-TS,B2GP-PLYP-D4,ORCA,-678.753807949144,140.916,1127.328,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/33-TS_B2GP-PLYP-D4.out
34-P1,B2GP-PLYP-D4,ORCA,-1139.480829486909,2404.528,4809.056,estimated_from_wall_time_and_nprocs,2,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/34-P1_B2GP-PLYP-D4.out
34-R1,B2GP-PLYP-D4,ORCA,-1139.460246756414,215.275,1722.2,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/34-R1_B2GP-PLYP-D4.out
34-TS,B2GP-PLYP-D4,ORCA,-1139.448859552144,181.568,1452.544,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/34-TS_B2GP-PLYP-D4.out
35-P1,B2GP-PLYP-D4,ORCA,-3253.230439122588,947.579,1895.158,estimated_from_wall_time_and_nprocs,2,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/35-P1_B2GP-PLYP-D4.out
35-R1,B2GP-PLYP-D4,ORCA,-3253.209312942042,1101.928,2203.856,estimated_from_wall_time_and_nprocs,2,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/35-R1_B2GP-PLYP-D4.out
35-TS,B2GP-PLYP-D4,ORCA,-3253.198287736829,991.716,1983.432,estimated_from_wall_time_and_nprocs,2,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/35-TS_B2GP-PLYP-D4.out
36-P1,B2GP-PLYP-D4,ORCA,-1074.470400591025,167.052,1336.416,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/36-P1_B2GP-PLYP-D4.out
36-R1,B2GP-PLYP-D4,ORCA,-1074.442146399689,191.446,1531.568,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/36-R1_B2GP-PLYP-D4.out
36-TS,B2GP-PLYP-D4,ORCA,-1074.432722772319,181.184,1449.472,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/36-TS_B2GP-PLYP-D4.out
37-P1,B2GP-PLYP-D4,ORCA,-751.603122134171,160.829,1286.632,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/37-P1_B2GP-PLYP-D4.out
37-R1,B2GP-PLYP-D4,ORCA,-751.579038271719,202.557,1620.456,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/37-R1_b2GP-PLYP-D4.out
37-TS,B2GP-PLYP-D4,ORCA,-751.566657835991,169.613,1356.904,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/37-TS_B2GP-PLYP-D4.out
38-P1,B2GP-PLYP-D4,ORCA,-348.115304441356,91.402,731.216,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/38-P1_B2GP-PLYP-D4.out
38-P2,B2GP-PLYP-D4,ORCA,-459.995962390809,1.7389999999999999,13.911999999999999,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/38-P2_B2GP-PLYP-D4.out
38-R1,B2GP-PLYP-D4,ORCA,-808.127240941724,111.514,892.112,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/38-R1_B2GP-PLYP-D4.out
38-TS,B2GP-PLYP-D4,ORCA,-808.114281533678,113.47,907.76,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/38-TS_B2GP-PLYP-D4.out
39-P2,B2GP-PLYP-D4,ORCA,-2573.762204349939,2.286,18.288,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/39-P2_B2GP-PLYP-D4.out
39-R1,B2GP-PLYP-D4,ORCA,-2921.879174844256,112.168,897.344,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/39-R1_B2GP-PLYP-D4.out
39-TS,B2GP-PLYP-D4,ORCA,-2921.873585476472,119.288,954.304,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/39-TS_B2GP-PLYP-D4.out
4-P1,B2GP-PLYP-D4,ORCA,-833.900494869702,164.896,1319.168,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/4-P1_B2GP-PLYP-D4.out
4-TS,B2GP-PLYP-D4,ORCA,-833.848964854856,179.003,1432.024,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/4-TS_B2GP-PLYP-D4.out
40-P1,B2GP-PLYP-D4,ORCA,-462.595436810971,144.872,1158.976,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/40-P1_B2GP-PLYP-D4.out
40-R1,B2GP-PLYP-D4,ORCA,-922.61193993366,179.679,1437.432,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/40-R1_B2GP-PLYP-D4.out
40-TS,B2GP-PLYP-D4,ORCA,-922.598927806501,185.352,1482.816,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/40-TS_B2GP-PLYP-D4.out
41-P1,B2GP-PLYP-D4,ORCA,-822.350174177134,180.017,1440.136,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/41-P1_B2GP-PLYP-D4.out
41-R1,B2GP-PLYP-D4,ORCA,-1282.368016844151,199.189,1593.512,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/41-R1_B2GP-PLYP-D4.out
41-TS,B2GP-PLYP-D4,ORCA,-1282.360525289932,204.937,1639.496,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/41-TS_B2GP-PLYP-D4.out
42-P1,B2GP-PLYP-D4,ORCA,-509.142585716952,77.374,618.992,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/42-P1_B2GP-PLYP-D4.out
42-R1,B2GP-PLYP-D4,ORCA,-430.571696522095,36.738,293.904,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/42-R1_B2GP-PLYP-D4.out
42-R2,B2GP-PLYP-D4,ORCA,-78.536970974891,4.063,32.504,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/42-R2_B2GP-PLYP-D4.out
42-TS,B2GP-PLYP-D4,ORCA,-509.095255837131,86.911,695.288,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/42-TS_B2GP-PLYP-D4.out
43-P1,B2GP-PLYP-D4,ORCA,-304.57119347743,55.799,446.392,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/43-P1_B2GP-PLYP-D4.out
43-R1,B2GP-PLYP-D4,ORCA,-304.53423836257,53.858,430.864,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/43-R1_B2GP-PLYP-D4.out
43-TS,B2GP-PLYP-D4,ORCA,-304.522156108818,55.782,446.256,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/43-TS_B2GP-PLYP-D4.out
44-P1,B2GP-PLYP-D4,ORCA,-109.495295542788,1.875,15.0,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/44-P1_B2GP-PLYP-D4.out
44-P2,B2GP-PLYP-D4,ORCA,-195.103119962933,25.022,200.176,estimated_from_wall_time_and_nprocs,8,True,calculations/single_points/raw_outputs/B2GP-PLYP-D4/44-P2_B2GP-PLYP-D4.out
