rxn_number,functional,program,R1_energy_kcal_mol,R2_energy_kcal_mol,TS_energy_kcal_mol,P1_energy_kcal_mol,P2_energy_kcal_mol,R1_cpu_time_s,R2_cpu_time_s,TS_cpu_time_s,P1_cpu_time_s,P2_cpu_time_s
7,wB97M-V,Q-Chem,-386557.64185224,,-386549.50735121,-386573.05726473,,16024.82000000,,16609.25000000,17915.75000000,
8,B2GP-PLYP-D4,ORCA,-98595.38783790,-601193.40338429,-699789.81099855,-699823.43870455,,92.99200000,35.36800000,394.08000000,364.70400000,
8,B3PW91-D4,Q-Chem,-98674.23776521,-601376.02338032,-700053.96114642,-700086.54726897,,726.74000000,98.47000000,2252.67000000,2258.86000000,
8,B97M-V,Q-Chem,-98703.35533590,-601252.77699507,-699958.63541089,-699990.93271134,,461.83000000,130.72000000,1664.91000000,1772.74000000,
8,M06-2X-D30,ORCA,-98651.52417887,-601402.04826032,-700054.94300752,-700088.10981149,,187.56800000,72.77600000,654.99200000,584.51200000,
8,M06-D4,Q-Chem,-98621.93379800,-601377.43500191,-700002.82905903,-700034.94991228,,1313.24000000,180.63000000,4091.27000000,4591.00000000,
8,OLYP-D3BJ,Q-Chem,-98682.71767357,-601461.06634803,-700150.33039579,-700179.60386319,,221.91000000,57.15000000,807.66000000,659.35000000,
8,wB97M-V,Q-Chem,-98639.09944851,-601369.51068386,-700010.35776308,-700044.86234771,,801.22000000,185.41000000,3593.13000000,2911.00000000,
9,B2GP-PLYP-D4,ORCA,-385623.34162619,,-385610.28325145,-385627.28520862,,1897.48800000,,2180.92000000,2006.81600000,
9,B3PW91-D4,Q-Chem,-385863.49415345,,-385855.74225933,-385871.43254735,,12435.87000000,,14468.65000000,15097.81000000,
9,B97M-V,Q-Chem,-385969.39539839,,-385959.66750691,-385975.08550380,,6376.96000000,,6820.26000000,8158.54000000,
9,M06-2X-D30,ORCA,-385828.77973299,,-385816.39858860,-385834.42392179,,2302.55200000,,2383.66400000,2455.18400000,
9,M06-D4,Q-Chem,-385723.20090806,,-385713.11379802,-385730.42779755,,23531.30000000,,23167.76000000,23263.23000000,
9,OLYP-D3BJ,Q-Chem,-385935.43597525,,-385930.22730886,-385942.27497099,,3507.87000000,,3893.99000000,3588.01000000,
9,wB97M-V,Q-Chem,-385826.49035875,,-385815.82931754,-385836.19296699,,14710.18000000,,15254.56000000,17004.58000000,
10,B2GP-PLYP-D4,ORCA,-121069.55866863,,-121053.90971330,-96082.79103790,-24981.17778091,174.18000000,,132.42400000,53.54400000,21.99200000
10,B3PW91-D4,Q-Chem,-121147.69053582,,-121130.37793608,-96132.77883750,-25004.06737715,563.64000000,,653.10000000,171.20000000,49.50000000
10,B97M-V,Q-Chem,-121170.67517542,,-121152.42958897,-96150.31977471,-25009.06320342,538.26000000,,538.03000000,260.60000000,56.58000000
10,M06-2X-D30,ORCA,-121127.84353918,,-121110.52674625,-96125.16231518,-24993.48241037,196.61600000,,203.02400000,98.98400000,52.43200000
10,M06-D4,Q-Chem,-121103.75435784,,-121088.00802520,-96107.18579709,-24988.03588028,1134.22000000,,1291.10000000,393.55000000,97.92000000
10,OLYP-D3BJ,Q-Chem,-121163.64562180,,-121149.20338586,-96149.74045461,-25002.28520894,235.05000000,,210.70000000,89.47000000,32.08000000
10,wB97M-V,Q-Chem,-121124.13944101,,-121106.59955444,-96126.87809371,-24988.15092699,1012.81000000,,868.56000000,268.15000000,74.13000000
11,B2GP-PLYP-D4,ORCA,-343940.50493927,,-343932.96268355,-216334.91636793,-127605.24689125,1296.07200000,,1117.59200000,375.88800000,74.33600000
11,B3PW91-D4,Q-Chem,-344139.85778191,,-344128.47559122,-216460.80897823,-127672.08880283,11215.10000000,,7706.80000000,2301.16000000,268.28000000
11,B97M-V,Q-Chem,-344235.99646623,,-344222.88537115,-216527.44758114,-127700.07186716,4556.57000000,,4712.69000000,1424.27000000,263.32000000
11,M06-2X-D30,ORCA,-344117.54754223,,-344107.02706425,-216448.07642094,-127665.05935183,1415.99200000,,1118.13600000,517.24000000,118.69600000
11,M06-D4,Q-Chem,-344029.48292556,,-344018.10588057,-216383.52973489,-127640.51731664,15559.52000000,,12519.95000000,4144.60000000,519.30000000
11,OLYP-D3BJ,Q-Chem,-344224.87649199,,-344213.48908531,-216507.34880815,-127706.49968304,2553.59000000,,2130.22000000,679.36000000,115.91000000
11,wB97M-V,Q-Chem,-344125.83204204,,-344114.65661203,-216450.87089950,-127671.08770342,14181.09000000,,9124.12000000,2806.32000000,397.82000000
12,B2GP-PLYP-D4,ORCA,-405424.71013235,-98597.51708557,-504022.83065956,-504059.45964264,,321.32800000,116.76000000,1421.55200000,1314.66400000,
12,B3PW91-D4,Q-Chem,-405614.54214019,-98675.96248053,-504293.99567237,-504330.17630456,,2005.76000000,778.07000000,8172.54000000,9450.96000000,
12,B97M-V,Q-Chem,-405609.96041327,-98705.50224451,-504316.95233528,-504351.97052928,,1158.82000000,585.44000000,4765.03000000,5094.44000000,
12,M06-2X-D30,ORCA,-405608.50169693,-98653.66943845,-504262.79651966,-504297.48931944,,401.49600000,173.12000000,1236.16800000,1308.76000000,
12,M06-D4,Q-Chem,-405553.21565564,-98624.14782615,-504181.35164992,-504214.88005661,,3325.66000000,1319.83000000,15086.55000000,14232.56000000,
12,OLYP-D3BJ,Q-Chem,-405681.06996137,-98684.78931743,-504371.95024721,-504405.07023897,,530.37000000,271.29000000,2169.43000000,2484.27000000,
12,wB97M-V,Q-Chem,-405594.34442935,-98641.38547490,-504236.68388649,-504273.15654931,,2453.48000000,838.31000000,9409.98000000,10698.28000000,
13,B2GP-PLYP-D4,ORCA,-121069.55866863,-165001.85693940,-286060.92724629,-286091.85278546,,174.18000000,123.49200000,2177.63200000,935.46400000,
13,B3PW91-D4,Q-Chem,-121147.69053582,-165083.02811026,-286230.44865378,-286252.71798137,,563.64000000,634.87000000,4705.66000000,4963.34000000,
13,B97M-V,Q-Chem,-121170.67517542,-165139.03743310,-286312.71814728,-286329.55675773,,538.26000000,567.28000000,4440.72000000,5017.02000000,
13,M06-2X-D30,ORCA,-121127.84353918,-165088.37989165,-286208.61183812,-286240.19310944,,196.61600000,148.04000000,1682.38400000,797.42400000,
13,M06-D4,Q-Chem,-121103.75435784,-165037.72498937,-286140.29526577,-286164.65699443,,1134.22000000,613.85000000,4751.30000000,5019.29000000,
13,OLYP-D3BJ,Q-Chem,-121163.64562180,-165124.16513020,-286295.96215267,-286305.88604228,,235.05000000,631.87000000,4546.68000000,5001.74000000,
13,wB97M-V,Q-Chem,-121124.13944101,-165094.79220399,-286210.25589010,-286241.31365215,,1012.81000000,633.44000000,4780.61000000,5083.18000000,
14,B2GP-PLYP-D4,ORCA,-121065.12529316,-122470.37099223,-243551.15592745,-243582.30855124,,114.03200000,121.46400000,827.85600000,808.46400000,
14,B3PW91-D4,Q-Chem,-121143.30031953,-122563.83426008,-243725.87703229,-243754.63245350,,633.05000000,893.68000000,5375.70000000,5043.32000000,
14,B97M-V,Q-Chem,-121166.75714598,-122603.24687242,-243789.47325704,-243815.17724846,,571.15000000,666.77000000,2888.16000000,2639.08000000,
14,M06-2X-D30,ORCA,-121123.55956262,-122542.28654431,-243681.34992548,-243713.86534053,,209.48000000,207.84000000,971.17600000,870.56000000,
14,M06-D4,Q-Chem,-121098.54870193,-122504.08676018,-243625.26826573,-243651.55171556,,1454.51000000,1774.79000000,9585.00000000,8586.60000000,
14,OLYP-D3BJ,Q-Chem,-121159.70941648,-122579.24856150,-243759.57148314,-243782.66497518,,217.88000000,348.18000000,1479.73000000,1514.80000000,
14,wB97M-V,Q-Chem,-121119.89348288,-122530.54068538,-243665.79990077,-243697.05049002,,1094.07000000,1123.34000000,6080.70000000,6334.40000000,
15,B2GP-PLYP-D4,ORCA,-192185.04484790,-49282.69538797,-241442.97724766,-241475.46365603,,292.06000000,32.50400000,902.72800000,826.77200000,
15,B3PW91-D4,Q-Chem,-192292.34329564,-49320.78086398,-241590.65878206,-241621.11440249,,1212.32000000,83.51000000,3294.74000000,3690.00000000,
15,B97M-V,Q-Chem,-192331.08283741,-49335.76760007,-241642.85339789,-241671.01256768,,1212.77000000,80.51000000,3309.43000000,3665.71000000,
15,M06-2X-D30,ORCA,-192269.61244598,-49310.26927979,-241560.41557912,-241595.63307294,,287.44000000,67.16000000,697.07200000,652.32800000,
15,M06-D4,Q-Chem,-192237.77275269,-49295.78589559,-241513.73444039,-241543.33984525,,1237.05000000,83.13000000,3267.73000000,3590.43000000,
15,OLYP-D3BJ,Q-Chem,-192333.44153825,-49325.27315039,-241629.07013378,-241654.89945561,,1222.73000000,95.99000000,3308.58000000,3611.31000000,
15,wB97M-V,Q-Chem,-192271.27411806,-49304.41139080,-241555.80662048,-241589.21152847,,1226.35000000,77.32000000,3264.52000000,3669.57000000,
16,B2GP-PLYP-D4,ORCA,-239369.92787250,-49282.69538797,-288636.07156360,-288662.24126350,,291.89600000,32.50400000,664.95200000,636.17600000,
16,B3PW91-D4,Q-Chem,-239493.08793441,-49320.78086398,-288797.26424760,-288821.19503323,,2070.03000000,83.51000000,3752.00000000,3999.74000000,
16,B97M-V,Q-Chem,-239533.71694826,-49335.76760007,-288851.38075354,-288872.59998019,,1443.27000000,80.51000000,2385.27000000,2767.64000000,
16,M06-2X-D30,ORCA,-239477.37290331,-49310.26927979,-288770.54504052,-288800.36574755,,494.60000000,67.16000000,823.68800000,763.09600000,
16,M06-D4,Q-Chem,-239438.90182951,-49295.78589559,-288719.23981621,-288742.68282195,,3763.86000000,83.13000000,6139.12000000,7625.82000000,
16,OLYP-D3BJ,Q-Chem,-239539.59355063,-49325.27315039,-288844.28644878,-288862.97554263,,533.03000000,95.99000000,1181.85000000,1316.62000000,
16,wB97M-V,Q-Chem,-239483.41789510,-49304.41139080,-288769.14731454,-288796.76404027,,3226.32000000,77.32000000,5271.26000000,5502.45000000,
17,B2GP-PLYP-D4,ORCA,-192185.04484790,-214020.83243899,-406194.15815200,-406219.52386943,,292.06000000,145.61600000,1575.81600000,1442.17600000,
17,B3PW91-D4,Q-Chem,-192292.34329564,-214111.07727467,-406397.55077798,-406416.40244649,,1212.32000000,694.70000000,9036.29000000,6645.48000000,
17,B97M-V,Q-Chem,-192331.08283741,-214145.33547786,-406471.51833002,-406486.27170469,,1212.77000000,621.87000000,8285.73000000,6647.80000000,
17,M06-2X-D30,ORCA,-192269.61244598,-214114.59091648,-406378.81737108,-406405.13006295,,287.44000000,179.53600000,1218.12800000,1076.73600000,
17,M06-D4,Q-Chem,-192237.77275269,-214078.55788668,-406309.99322773,-406329.92649113,,1237.05000000,691.40000000,8787.85000000,6116.84000000,
17,OLYP-D3BJ,Q-Chem,-192333.44153825,-214154.40152747,-406481.38496849,-406489.19857924,,1222.73000000,649.27000000,9143.33000000,6616.94000000,
17,wB97M-V,Q-Chem,-192271.27411806,-214127.11333390,-406393.75932329,-406418.52569021,,1226.35000000,653.41000000,9010.55000000,7022.18000000,
18,B2GP-PLYP-D4,ORCA,-249724.89115009,-98595.38783790,-348319.61418070,-348327.72316421,,14.16000000,92.99200000,366.42400000,239.67200000,
18,B3PW91-D4,Q-Chem,-249805.92515638,-98674.23776521,-348485.03251046,-348492.88835109,,36.17000000,726.74000000,1378.18000000,1353.73000000,
18,B97M-V,Q-Chem,-249749.40133167,-98703.35533590,-348456.84320666,-348464.15275440,,30.38000000,461.83000000,1234.35000000,1069.80000000,
18,M06-2X-D30,ORCA,-249816.17251099,-98651.52417887,-348469.26357695,-348477.25518413,,35.77600000,187.56800000,502.84000000,461.79200000,
18,M06-D4,Q-Chem,-249808.42571554,-98621.93379800,-348434.04277718,-348441.58410120,,39.70000000,1313.24000000,2869.50000000,2360.18000000,
18,OLYP-D3BJ,Q-Chem,-249837.55753302,-98682.71767357,-348527.86157763,-348534.28001457,,25.67000000,221.91000000,494.68000000,444.88000000,
18,wB97M-V,Q-Chem,-249804.99503890,-98639.09944851,-348445.22054065,-348453.83828060,,41.37000000,801.22000000,1882.25000000,1940.40000000,
19,B2GP-PLYP-D4,ORCA,-249724.89115009,-97825.58199759,-347545.92468144,-347551.52405853,,14.16000000,80.45600000,294.34400000,258.38400000,
19,B3PW91-D4,Q-Chem,-249805.92515638,-97897.54360347,-347704.83059446,-347710.14218671,,36.17000000,425.65000000,1098.09000000,1046.39000000,
19,B97M-V,Q-Chem,-249749.40133167,-97931.35571517,-347680.48950102,-347685.30960530,,30.38000000,294.63000000,950.46000000,840.59000000,
19,M06-2X-D30,ORCA,-249816.17251099,-97881.78208940,-347695.76125325,-347701.13435204,,35.77600000,146.97600000,413.20000000,390.08800000,
19,M06-D4,Q-Chem,-249808.42571554,-97849.91120063,-347658.78112456,-347663.23976643,,39.70000000,861.38000000,1996.77000000,2199.72000000,
19,OLYP-D3BJ,Q-Chem,-249837.55753302,-97911.62207685,-347753.06764449,-347757.24261918,,25.67000000,160.22000000,421.78000000,397.58000000,
19,wB97M-V,Q-Chem,-249804.99503890,-97873.43270737,-347676.05872816,-347682.05096961,,41.37000000,597.18000000,1549.37000000,1567.79000000,
20,B2GP-PLYP-D4,ORCA,-634638.24210614,,-634629.92299153,-489420.15025751,-145220.02252500,2508.95200000,,2463.80800000,534.34400000,216.55200000
20,B3PW91-D4,Q-Chem,-634955.08242153,,-634948.33880899,-489630.90872797,-145320.43599936,14090.24000000,,13939.89000000,3152.27000000,1178.90000000
20,B97M-V,Q-Chem,-635010.87432212,,-635003.12610922,-489635.23764675,-145374.76364280,5696.18000000,,6348.14000000,1651.16000000,787.82000000
20,M06-2X-D30,ORCA,-634927.45667482,,-634920.57678207,-489623.18642540,-145306.15120954,2464.48000000,,2718.95200000,736.46400000,390.51200000
20,M06-D4,Q-Chem,-634815.43920903,,-634808.02494521,-489557.08762699,-145254.48204836,22273.89000000,,21192.52000000,5584.34000000,2099.36000000
20,OLYP-D3BJ,Q-Chem,-635071.99866966,,-635067.51120842,-489719.22235282,-145348.99641372,3457.07000000,,3812.05000000,840.44000000,358.63000000
20,wB97M-V,Q-Chem,-634923.59595215,,-634913.38172055,-489621.67419162,-145300.71279069,16873.98000000,,14955.89000000,3817.57000000,1757.40000000
21,B2GP-PLYP-D4,ORCA,-573652.41339905,,-573644.46978664,-573658.82639718,,1442.12000000,,1441.38400000,1519.79200000,
21,B3PW91-D4,Q-Chem,-573939.17800394,,-573932.63125449,-573947.44663838,,12496.63000000,,10688.23000000,9759.19000000,
21,B97M-V,Q-Chem,-573982.48351460,,-573972.88717007,-573986.51324350,,4485.95000000,,4425.52000000,4905.22000000,
21,M06-2X-D30,ORCA,-573920.96446179,,-573913.08182522,-573928.55290376,,1794.70400000,,2012.20800000,1823.08800000,
21,M06-D4,Q-Chem,-573818.78245251,,-573811.27297410,-573825.35267766,,15214.60000000,,16039.95000000,14428.68000000,
21,OLYP-D3BJ,Q-Chem,-574043.36273849,,-574037.13029380,-574048.30697344,,2624.15000000,,2681.20000000,2920.33000000,
21,wB97M-V,Q-Chem,-573909.82325310,,-573902.23116821,-573918.95480353,,10177.51000000,,10786.17000000,9941.07000000,
22,B2GP-PLYP-D4,ORCA,-373318.88236612,,-373309.69285970,-373331.09308635,,2161.82400000,,2230.23600000,2135.50800000,
22,B3PW91-D4,Q-Chem,-373553.35652099,,-373546.39510015,-373565.27222019,,14365.16000000,,15617.05000000,14547.39000000,
22,B97M-V,Q-Chem,-373639.99056194,,-373631.76777515,-373652.09782655,,7032.77000000,,7581.07000000,7097.28000000,
22,M06-2X-D30,ORCA,-373512.29822960,,-373501.06215965,-373524.24913314,,2599.40800000,,2246.77600000,2425.72000000,
22,M06-D4,Q-Chem,-373421.54811694,,-373408.73692183,-373433.54900696,,22491.06000000,,23491.78000000,22718.08000000,
22,OLYP-D3BJ,Q-Chem,-373615.83399312,,-373609.97034499,-373626.44357937,,3606.92000000,,3716.68000000,3664.06000000,
22,wB97M-V,Q-Chem,-373504.12218190,,-373494.06737988,-373517.15966428,,17652.23000000,,16164.16000000,15963.56000000,
23,B2GP-PLYP-D4,ORCA,-195031.58496661,,-195023.37401702,-195036.65517279,,536.28000000,,559.55200000,528.76800000,
23,B3PW91-D4,Q-Chem,-195169.47258419,,-195164.72901624,-195173.88147868,,2932.23000000,,3231.64000000,3169.34000000,
23,B97M-V,Q-Chem,-195214.25057150,,-195205.81136435,-195215.00709903,,2698.51000000,,2423.94000000,2032.05000000,
23,M06-2X-D30,ORCA,-195132.94606724,,-195124.08406885,-195138.87633380,,964.61600000,,872.27200000,838.00800000,
23,M06-D4,Q-Chem,-195085.22228805,,-195077.81939759,-195092.82888655,,6525.84000000,,6194.51000000,6553.05000000,
23,OLYP-D3BJ,Q-Chem,-195192.42185134,,-195189.75265842,-195193.57626161,,930.16000000,,976.51000000,1021.52000000,
23,wB97M-V,Q-Chem,-195119.74680822,,-195110.74519185,-195123.59537751,,4030.67000000,,4698.27000000,3738.68000000,
24,B2GP-PLYP-D4,ORCA,-290634.42590068,,-290630.74129067,-290647.75238765,,1687.14400000,,1566.25600000,1530.50400000,
24,B3PW91-D4,Q-Chem,-290833.50755272,,-290832.72983213,-290843.11882645,,4847.32000000,,4686.51000000,4106.89000000,
24,B97M-V,Q-Chem,-290920.27271429,,-290916.75019386,-290927.37204076,,4887.80000000,,5014.50000000,4335.30000000,
24,M06-2X-D30,ORCA,-290796.61397427,,-290790.87675227,-290806.69453457,,4937.18400000,,1741.72800000,1631.26400000,
24,M06-D4,Q-Chem,-290712.28820827,,-290706.65888292,-290722.70041976,,4909.25000000,,4789.44000000,3814.04000000,
24,OLYP-D3BJ,Q-Chem,-290884.54195941,,-290885.84825441,-290891.88516230,,4898.98000000,,4539.89000000,4023.55000000,
24,wB97M-V,Q-Chem,-290787.09310447,,-290781.81909734,-290795.92843466,,4952.87000000,,4917.39000000,4116.30000000,
25,B2GP-PLYP-D4,ORCA,-241325.47217636,-25405.68294435,-266718.61336137,-241751.33608681,-24981.17778091,955.02000000,21.92000000,1767.45600000,1223.31200000,21.99200000
25,B3PW91-D4,Q-Chem,-241483.77293863,-25430.68993335,-266904.13718359,-241909.07373983,-25004.06737715,9438.63000000,100.38000000,12261.94000000,7820.65000000,49.50000000
25,B97M-V,Q-Chem,-241556.46093342,-25435.46844298,-266978.71831228,-241979.04245050,-25009.06320342,9005.36000000,94.47000000,12283.46000000,8005.43000000,56.58000000
25,M06-2X-D30,ORCA,-241458.48041411,-25418.25643437,-266864.03765225,-241883.64548818,-24993.48241037,3526.11200000,52.20000000,1340.96800000,1054.05600000,52.43200000
25,M06-D4,Q-Chem,-241389.03045988,-25413.62585291,-266789.87732612,-241813.51252779,-24988.03588028,9271.98000000,110.00000000,11882.57000000,8041.73000000,97.92000000
25,OLYP-D3BJ,Q-Chem,-241529.70297045,-25428.34674134,-266949.25342958,-241951.29856857,-25002.28520894,9211.06000000,103.54000000,12467.54000000,8048.79000000,32.08000000
25,wB97M-V,Q-Chem,-241455.54837727,-25411.04215088,-266852.84975189,-241877.76112183,-24988.15092699,9254.58000000,99.98000000,12008.46000000,7811.62000000,74.13000000
26,B2GP-PLYP-D4,ORCA,-241325.47217636,-72590.90491443,-313907.78829847,-241751.33608681,-72166.40680421,955.02000000,52.57200000,2111.82000000,1223.31200000,56.88400000
26,B3PW91-D4,Q-Chem,-241483.77293863,-72629.41295676,-314109.46757681,-241909.07373983,-72205.32719092,9438.63000000,223.53000000,16612.66000000,7820.65000000,190.45000000
26,B97M-V,Q-Chem,-241556.46093342,-72634.39825424,-314187.31296908,-241979.04245050,-72213.07880674,9005.36000000,221.95000000,16651.23000000,8005.43000000,207.41000000
26,M06-2X-D30,ORCA,-241458.48041411,-72620.54670722,-314070.05910522,-241883.64548818,-72196.36943696,3526.11200000,67.46400000,1921.55200000,1054.05600000,78.64000000
26,M06-D4,Q-Chem,-241389.03045988,-72610.73004978,-313993.02860676,-241813.51252779,-72187.15023556,9271.98000000,194.07000000,15727.98000000,8041.73000000,191.95000000
26,OLYP-D3BJ,Q-Chem,-241529.70297045,-72635.95983297,-314166.44655694,-241951.29856857,-72213.60990317,9211.06000000,217.88000000,15555.94000000,8048.79000000,208.87000000
26,wB97M-V,Q-Chem,-241455.54837727,-72617.15142741,-314063.05767782,-241877.76112183,-72196.24100252,9254.58000000,210.93000000,15103.87000000,7811.62000000,190.69000000
27,B2GP-PLYP-D4,ORCA,-344095.35824073,-47950.27108497,-392034.58394305,-47513.08944434,-344526.58583105,32.00800000,15.56000000,114.09600000,15.96800000,41.50400000
27,B3PW91-D4,Q-Chem,-344208.75798942,-47968.63249873,-392173.36948640,-47529.85123568,-344640.57659569,81.09000000,30.69000000,354.17000000,47.45000000,113.94000000
27,B97M-V,Q-Chem,-344157.55407052,-47966.62173891,-392120.24316949,-47530.41350069,-344586.51972649,107.06000000,35.90000000,296.66000000,38.71000000,114.65000000
