species,functional,program,energy_hartree,calculation_time_seconds,completed,output_file
20-R1,gxtb,gxTB,-1011.810487650000,0.13360612,True,calculations/gxtb/raw_outputs/20-R1/gxtb.out
20-TS,gxtb,gxTB,-1011.794992220000,0.12600228,True,calculations/gxtb/raw_outputs/20-TS/gxtb.out
21-P1,gxtb,gxTB,-914.584704000000,0.11761069,True,calculations/gxtb/raw_outputs/21-P1/gxtb.out
21-R1,gxtb,gxTB,-914.570739860000,0.12341736,True,calculations/gxtb/raw_outputs/21-R1/gxtb.out
21-TS,gxtb,gxTB,-914.558989690000,0.10802969,True,calculations/gxtb/raw_outputs/21-TS/gxtb.out
22-P1,gxtb,gxTB,-595.210201760000,0.10931494,True,calculations/gxtb/raw_outputs/22-P1/gxtb.out
22-R1,gxtb,gxTB,-595.190102090000,0.11713134,True,calculations/gxtb/raw_outputs/22-R1/gxtb.out
22-TS,gxtb,gxTB,-595.173480500000,0.11523268,True,calculations/gxtb/raw_outputs/22-TS/gxtb.out
23-P1,gxtb,gxTB,-310.937037030000,0.06589439,True,calculations/gxtb/raw_outputs/23-P1/gxtb.out
23-R1,gxtb,gxTB,-310.932861360000,0.06055972,True,calculations/gxtb/raw_outputs/23-R1/gxtb.out
23-TS,gxtb,gxTB,-310.922665090000,0.06079537,True,calculations/gxtb/raw_outputs/23-TS/gxtb.out
24-P1,gxtb,gxTB,-463.394264320000,0.08975640,True,calculations/gxtb/raw_outputs/24-P1/gxtb.out
24-R1,gxtb,gxTB,-463.384533580000,0.12004927,True,calculations/gxtb/raw_outputs/24-R1/gxtb.out
24-TS,gxtb,gxTB,-463.385587030000,0.11503035,True,calculations/gxtb/raw_outputs/24-TS/gxtb.out
25-P1,gxtb,gxTB,-385.444671370000,0.11988999,True,calculations/gxtb/raw_outputs/25-P1/gxtb.out
25-R1,gxtb,gxTB,-384.772756160000,0.06427856,True,calculations/gxtb/raw_outputs/25-R1/gxtb.out
25-R2,gxtb,gxTB,-40.493916090000,0.02250862,True,calculations/gxtb/raw_outputs/25-R2/gxtb.out
25-TS,gxtb,gxTB,-425.248974540000,0.11879797,True,calculations/gxtb/raw_outputs/25-TS/gxtb.out
26-P2,gxtb,gxTB,-115.049018120000,0.02573599,True,calculations/gxtb/raw_outputs/26-P2/gxtb.out
26-R2,gxtb,gxTB,-115.724699690000,0.02521597,True,calculations/gxtb/raw_outputs/26-R2/gxtb.out
26-TS,gxtb,gxTB,-500.493849000000,0.11077487,True,calculations/gxtb/raw_outputs/26-TS/gxtb.out
27-P1,gxtb,gxTB,-75.746547450000,0.02313659,True,calculations/gxtb/raw_outputs/27-P1/gxtb.out
27-P2,gxtb,gxTB,-549.222911160000,0.02743830,True,calculations/gxtb/raw_outputs/27-P2/gxtb.out
27-R1,gxtb,gxTB,-548.544169200000,0.02719142,True,calculations/gxtb/raw_outputs/27-R1/gxtb.out
27-R2,gxtb,gxTB,-76.437207650000,0.02106399,True,calculations/gxtb/raw_outputs/27-R2/gxtb.out
27-TS,gxtb,gxTB,-624.975718740000,0.03425337,True,calculations/gxtb/raw_outputs/27-TS/gxtb.out
28-TS,gxtb,gxTB,-589.038584960000,0.03889106,True,calculations/gxtb/raw_outputs/28-TS/gxtb.out
29-P1,gxtb,gxTB,-157.749434520000,0.04982942,True,calculations/gxtb/raw_outputs/29-P1/gxtb.out
29-R1,gxtb,gxTB,-158.411010390000,0.04019691,True,calculations/gxtb/raw_outputs/29-R1/gxtb.out
29-TS,gxtb,gxTB,-706.962737100000,0.07156556,True,calculations/gxtb/raw_outputs/29-TS/gxtb.out
3-P1,gxtb,gxTB,-834.236139260000,0.10347084,True,calculations/gxtb/raw_outputs/3-P1/gxtb.out
3-R1,gxtb,gxTB,-834.216658080000,0.09411337,True,calculations/gxtb/raw_outputs/3-R1/gxtb.out
3-TS,gxtb,gxTB,-834.196873870000,0.10514130,True,calculations/gxtb/raw_outputs/3-TS/gxtb.out
30-P1,gxtb,gxTB,-117.234485550000,0.03089807,True,calculations/gxtb/raw_outputs/30-P1/gxtb.out
30-R1,gxtb,gxTB,-117.880162550000,0.02919456,True,calculations/gxtb/raw_outputs/30-R1/gxtb.out
30-TS,gxtb,gxTB,-666.432457570000,0.05388109,True,calculations/gxtb/raw_outputs/30-TS/gxtb.out
31-P1,gxtb,gxTB,-754.132370490000,0.12242026,True,calculations/gxtb/raw_outputs/31-P1/gxtb.out
31-R1,gxtb,gxTB,-754.121807750000,0.12750134,True,calculations/gxtb/raw_outputs/31-R1/gxtb.out
31-TS,gxtb,gxTB,-754.112415480000,0.11810212,True,calculations/gxtb/raw_outputs/31-TS/gxtb.out
32-P1,gxtb,gxTB,-562.372524460000,0.06972886,True,calculations/gxtb/raw_outputs/32-P1/gxtb.out
32-R1,gxtb,gxTB,-562.367192010000,0.06301508,True,calculations/gxtb/raw_outputs/32-R1/gxtb.out
32-TS,gxtb,gxTB,-562.357221770000,0.06820387,True,calculations/gxtb/raw_outputs/32-TS/gxtb.out
33-P1,gxtb,gxTB,-679.066600550000,0.09399894,True,calculations/gxtb/raw_outputs/33-P1/gxtb.out
33-R1,gxtb,gxTB,-679.065036240000,0.09830844,True,calculations/gxtb/raw_outputs/33-R1/gxtb.out
33-TS,gxtb,gxTB,-679.051895320000,0.09934624,True,calculations/gxtb/raw_outputs/33-TS/gxtb.out
34-P1,gxtb,gxTB,-1139.891686210000,0.11001707,True,calculations/gxtb/raw_outputs/34-P1/gxtb.out
34-R1,gxtb,gxTB,-1139.888879650000,0.11520127,True,calculations/gxtb/raw_outputs/34-R1/gxtb.out
34-TS,gxtb,gxTB,-1139.877975380000,0.11512198,True,calculations/gxtb/raw_outputs/34-TS/gxtb.out
35-P1,gxtb,gxTB,-3253.711315960000,0.10573710,True,calculations/gxtb/raw_outputs/35-P1/gxtb.out
35-R1,gxtb,gxTB,-3253.709361790000,0.11127707,True,calculations/gxtb/raw_outputs/35-R1/gxtb.out
35-TS,gxtb,gxTB,-3253.696472940000,0.11403703,True,calculations/gxtb/raw_outputs/35-TS/gxtb.out
36-P1,gxtb,gxTB,-1074.903145090000,0.13167863,True,calculations/gxtb/raw_outputs/36-P1/gxtb.out
36-R1,gxtb,gxTB,-1074.891955080000,0.09712158,True,calculations/gxtb/raw_outputs/36-R1/gxtb.out
36-TS,gxtb,gxTB,-1074.881604940000,0.10642369,True,calculations/gxtb/raw_outputs/36-TS/gxtb.out
37-P1,gxtb,gxTB,-751.935795530000,0.10004185,True,calculations/gxtb/raw_outputs/37-P1/gxtb.out
37-R1,gxtb,gxTB,-751.926350960000,0.10031715,True,calculations/gxtb/raw_outputs/37-R1/gxtb.out
37-TS,gxtb,gxTB,-751.912931840000,0.09934021,True,calculations/gxtb/raw_outputs/37-TS/gxtb.out
38-P1,gxtb,gxTB,-348.295894240000,0.07079844,True,calculations/gxtb/raw_outputs/38-P1/gxtb.out
38-P2,gxtb,gxTB,-460.125875990000,0.02200430,True,calculations/gxtb/raw_outputs/38-P2/gxtb.out
38-R1,gxtb,gxTB,-808.438301010000,0.11115699,True,calculations/gxtb/raw_outputs/38-R1/gxtb.out
38-TS,gxtb,gxTB,-808.424553860000,0.13349422,True,calculations/gxtb/raw_outputs/38-TS/gxtb.out
39-P2,gxtb,gxTB,-2573.971912540000,0.02373989,True,calculations/gxtb/raw_outputs/39-P2/gxtb.out
39-R1,gxtb,gxTB,-2922.261776820000,0.10500848,True,calculations/gxtb/raw_outputs/39-R1/gxtb.out
39-TS,gxtb,gxTB,-2922.260270410000,0.10382991,True,calculations/gxtb/raw_outputs/39-TS/gxtb.out
4-P1,gxtb,gxTB,-834.242820810000,0.10425434,True,calculations/gxtb/raw_outputs/4-P1/gxtb.out
4-TS,gxtb,gxTB,-834.197746910000,0.11314768,True,calculations/gxtb/raw_outputs/4-TS/gxtb.out
40-P1,gxtb,gxTB,-462.821687590000,0.15018283,True,calculations/gxtb/raw_outputs/40-P1/gxtb.out
40-R1,gxtb,gxTB,-922.969309790000,0.12303690,True,calculations/gxtb/raw_outputs/40-R1/gxtb.out
40-TS,gxtb,gxTB,-922.955653640000,0.10251899,True,calculations/gxtb/raw_outputs/40-TS/gxtb.out
41-P1,gxtb,gxTB,-822.713553900000,0.11101635,True,calculations/gxtb/raw_outputs/41-P1/gxtb.out
41-R1,gxtb,gxTB,-1282.862639790000,0.13567453,True,calculations/gxtb/raw_outputs/41-R1/gxtb.out
41-TS,gxtb,gxTB,-1282.852171110000,0.14794462,True,calculations/gxtb/raw_outputs/41-TS/gxtb.out
42-P1,gxtb,gxTB,-509.376535520000,0.06991128,True,calculations/gxtb/raw_outputs/42-P1/gxtb.out
42-R1,gxtb,gxTB,-430.773355440000,0.05393439,True,calculations/gxtb/raw_outputs/42-R1/gxtb.out
42-TS,gxtb,gxTB,-509.333991590000,0.08577469,True,calculations/gxtb/raw_outputs/42-TS/gxtb.out
43-P1,gxtb,gxTB,-304.696647270000,0.05469753,True,calculations/gxtb/raw_outputs/43-P1/gxtb.out
43-R1,gxtb,gxTB,-304.667806910000,0.05612731,True,calculations/gxtb/raw_outputs/43-R1/gxtb.out
43-TS,gxtb,gxTB,-304.654884080000,0.05662567,True,calculations/gxtb/raw_outputs/43-TS/gxtb.out
44-P1,gxtb,gxTB,-109.524524290000,0.02274152,True,calculations/gxtb/raw_outputs/44-P1/gxtb.out
44-P2,gxtb,gxTB,-195.192254750000,0.04491060,True,calculations/gxtb/raw_outputs/44-P2/gxtb.out
44-TS,gxtb,gxTB,-304.696121050000,0.05391178,True,calculations/gxtb/raw_outputs/44-TS/gxtb.out
45-P1,gxtb,gxTB,-422.609374360000,0.09328575,True,calculations/gxtb/raw_outputs/45-P1/gxtb.out
45-R1,gxtb,gxTB,-422.593362670000,0.08212436,True,calculations/gxtb/raw_outputs/45-R1/gxtb.out
45-TS,gxtb,gxTB,-422.577143140000,0.09307048,True,calculations/gxtb/raw_outputs/45-TS/gxtb.out
46-P1,gxtb,gxTB,-313.122981580000,0.10426841,True,calculations/gxtb/raw_outputs/46-P1/gxtb.out
46-TS,gxtb,gxTB,-422.609857360000,0.08634283,True,calculations/gxtb/raw_outputs/46-TS/gxtb.out
47-P1,gxtb,gxTB,-309.525958700000,0.10005916,True,calculations/gxtb/raw_outputs/47-P1/gxtb.out
47-R1,gxtb,gxTB,-419.052932640000,0.08791574,True,calculations/gxtb/raw_outputs/47-R1/gxtb.out
47-TS,gxtb,gxTB,-419.036698560000,0.09453959,True,calculations/gxtb/raw_outputs/47-TS/gxtb.out
48-P1,gxtb,gxTB,-951.515295970000,0.15637269,True,calculations/gxtb/raw_outputs/48-P1/gxtb.out
48-R1,gxtb,gxTB,-1061.003817200000,0.18833491,True,calculations/gxtb/raw_outputs/48-R1/gxtb.out
48-TS,gxtb,gxTB,-1061.002672220000,0.19433140,True,calculations/gxtb/raw_outputs/48-TS/gxtb.out
49-P1,gxtb,gxTB,-477.258388400000,0.07659401,True,calculations/gxtb/raw_outputs/49-P1/gxtb.out
49-R1,gxtb,gxTB,-586.726646030000,0.09756638,True,calculations/gxtb/raw_outputs/49-R1/gxtb.out
49-TS,gxtb,gxTB,-586.714443440000,0.09524465,True,calculations/gxtb/raw_outputs/49-TS/gxtb.out
5-P1,gxtb,gxTB,-440.101519040000,0.07800835,True,calculations/gxtb/raw_outputs/5-P1/gxtb.out
5-R1,gxtb,gxTB,-170.832603760000,0.03432369,True,calculations/gxtb/raw_outputs/5-R1/gxtb.out
5-R2,gxtb,gxTB,-269.235450780000,0.04719320,True,calculations/gxtb/raw_outputs/5-R2/gxtb.out
5-TS,gxtb,gxTB,-440.071549500000,0.09848524,True,calculations/gxtb/raw_outputs/5-TS/gxtb.out
50-R1,gxtb,gxTB,-645.008237410000,0.08400901,True,calculations/gxtb/raw_outputs/50-R1/gxtb.out
50-R2,gxtb,gxTB,-415.962016060000,0.05431917,True,calculations/gxtb/raw_outputs/50-R2/gxtb.out
50-TS,gxtb,gxTB,-1060.966234240000,0.20325505,True,calculations/gxtb/raw_outputs/50-TS/gxtb.out
6-P1,gxtb,gxTB,-440.134927260000,0.07962479,True,calculations/gxtb/raw_outputs/6-P1/gxtb.out
6-TS,gxtb,gxTB,-440.063045730000,0.11096376,True,calculations/gxtb/raw_outputs/6-TS/gxtb.out
7-P1,gxtb,gxTB,-616.019448660000,0.17156557,True,calculations/gxtb/raw_outputs/7-P1/gxtb.out
7-R1,gxtb,gxTB,-615.993002340000,0.14069765,True,calculations/gxtb/raw_outputs/7-R1/gxtb.out
7-TS,gxtb,gxTB,-615.981663380000,0.12999096,True,calculations/gxtb/raw_outputs/7-TS/gxtb.out
8-P1,gxtb,gxTB,-1115.591624770000,0.06661688,True,calculations/gxtb/raw_outputs/8-P1/gxtb.out
8-R1,gxtb,gxTB,-157.187187900000,0.03843399,True,calculations/gxtb/raw_outputs/8-R1/gxtb.out
8-R2,gxtb,gxTB,-958.351302680000,0.03697079,True,calculations/gxtb/raw_outputs/8-R2/gxtb.out
8-TS,gxtb,gxTB,-1115.542501360000,0.06772660,True,calculations/gxtb/raw_outputs/8-TS/gxtb.out
9-P1,gxtb,gxTB,-614.852288650000,0.12308569,True,calculations/gxtb/raw_outputs/9-P1/gxtb.out
9-R1,gxtb,gxTB,-614.833400330000,0.11945105,True,calculations/gxtb/raw_outputs/9-R1/gxtb.out
9-TS,gxtb,gxTB,-614.817849800000,0.12439679,True,calculations/gxtb/raw_outputs/9-TS/gxtb.out
