rxn_number,functional,program,R1_energy_kcal_mol,R2_energy_kcal_mol,TS_energy_kcal_mol,P1_energy_kcal_mol,P2_energy_kcal_mol,R1_gpu_time_s,R2_gpu_time_s,TS_gpu_time_s,P1_gpu_time_s,P2_gpu_time_s
4,orbmol_v2,ASE,-523489.07609338,,-523471.22782953,-523505.01916833,,0.01356952,,0.01352254,0.01376808,
4,polar-1-l,ASE,-523486.19067133,,-523468.32437552,-523503.37207713,,0.17057162,,0.17222652,0.17272032,
4,polar-1-m,ASE,-523485.41963848,,-523464.48948056,-523502.64680308,,0.08360738,,0.08194522,0.08296381,
4,polar-1-s,ASE,-523472.03310867,,-523452.64286231,-523501.49503756,,0.04164674,,0.04213440,0.04248623,
4,uma-m-1p1,ASE,-523487.91589520,,-523472.43235301,-523505.29742281,,0.10349796,,0.10502424,0.10438685,
4,uma-s-1p1,ASE,-523483.68320741,,-523469.84539848,-523504.22154030,,0.04455346,,0.04378690,0.04534644,
4,uma-s-1p2,ASE,-523488.11264285,,-523470.62566818,-523504.67366941,,0.04337072,,0.04725697,0.04642095,
5,MACE-OMOL,ASE,-107198.05557604,-168941.58329507,-276142.30953629,-276167.96544945,,0.03759225,0.04603800,0.06955826,0.06930003,
5,aimnet2-nse,ASE,-107272.94740096,-169057.77555074,-276329.27051975,-276357.82602491,,0.00341964,0.00335874,0.00410305,0.00329787,
5,allscaip-md-conserving-all-omol,ASE,-107197.99332019,-168941.66587291,-276146.78057330,-276168.09199572,,0.05527112,0.05452848,0.05498396,0.05706241,
5,allscaip-md-direct-all-omol,ASE,-107198.01085076,-168942.79460880,-276148.09506676,-276168.62605560,,0.01891337,0.01890583,0.01891615,0.01889438,
5,esen-md-direct-all-omol,ASE,-107197.99909735,-168942.86531924,-276146.91449138,-276167.63681688,,0.02627495,0.02708406,0.02609878,0.02608261,
5,esen-sm-conserving-all-omol,ASE,-107198.03693899,-168942.62872955,-276146.92774353,-276167.80264932,,0.03600382,0.03493393,0.03615055,0.03633172,
5,esen-sm-direct-all-omol,ASE,-107197.97797830,-168941.94124041,-276148.09513822,-276166.01800444,,0.01347748,0.01339921,0.01387901,0.01284240,
5,orbmol_v1_conservative,ASE,-107197.97601063,-168942.78608779,-276143.43967998,-276167.79820604,,0.01249382,0.01120719,0.01288840,0.01233553,
5,orbmol_v1_direct,ASE,-107197.97731024,-168943.99920050,-276141.97688691,-276166.84256361,,0.00758912,0.00751811,0.00755114,0.00754655,
5,orbmol_v2,ASE,-107198.01964601,-168942.25745450,-276147.26758558,-276167.88478405,,0.01345890,0.01263412,0.01405092,0.01435118,
5,polar-1-l,ASE,-107198.06988263,-168940.23863556,-276144.41639386,-276167.94774487,,0.15382761,0.13231550,0.16279325,0.16282843,
5,polar-1-m,ASE,-107197.98885408,-168941.31630965,-276142.16900836,-276167.33085030,,0.07488025,0.06547668,0.07833831,0.08079224,
5,polar-1-s,ASE,-107198.16773926,-168941.22873893,-276131.88269601,-276164.18070450,,0.04160720,0.03928176,0.04276872,0.04213105,
5,uma-m-1p1,ASE,-107197.97942100,-168942.52278779,-276146.02597832,-276167.74117708,,0.09613776,0.09576199,0.09598674,0.09790349,
5,uma-s-1p1,ASE,-107197.99362421,-168943.02036758,-276143.96992461,-276167.24620621,,0.04276066,0.04297139,0.04898539,0.04462260,
5,uma-s-1p2,ASE,-107197.99814521,-168942.71045195,-276145.24802589,-276168.12373672,,0.05111840,0.04558523,0.04919109,0.05232634,
6,MACE-OMOL,ASE,-107198.05557604,-168941.58329507,-276141.95845695,-276186.36674932,,0.03759225,0.04603800,0.06974198,0.06917616,
6,aimnet2-nse,ASE,-107272.94740096,-169057.77555074,-276330.15960692,-276373.32836874,,0.00341964,0.00335874,0.00377396,0.00331906,
6,allscaip-md-conserving-all-omol,ASE,-107197.99332019,-168941.66587291,-276143.19597899,-276186.00854001,,0.05527112,0.05452848,0.05501377,0.05481409,
6,allscaip-md-direct-all-omol,ASE,-107198.01085076,-168942.79460880,-276142.82064820,-276186.07964097,,0.01891337,0.01890583,0.01905094,0.01972453,
6,esen-md-direct-all-omol,ASE,-107197.99909735,-168942.86531924,-276143.66068901,-276186.21060517,,0.02627495,0.02708406,0.02637219,0.02572920,
6,esen-sm-conserving-all-omol,ASE,-107198.03693899,-168942.62872955,-276143.16303098,-276185.14311709,,0.03600382,0.03493393,0.03603531,0.03577443,
6,esen-sm-direct-all-omol,ASE,-107197.97797830,-168941.94124041,-276140.57380418,-276184.77398663,,0.01347748,0.01339921,0.01335655,0.01299823,
6,orbmol_v1_conservative,ASE,-107197.97601063,-168942.78608779,-276143.67835091,-276186.28616955,,0.01249382,0.01120719,0.01287671,0.01197665,
6,orbmol_v1_direct,ASE,-107197.97731024,-168943.99920050,-276140.33387936,-276185.01009105,,0.00758912,0.00751811,0.00760250,0.00756775,
6,orbmol_v2,ASE,-107198.01964601,-168942.25745450,-276142.68807274,-276185.87752599,,0.01345890,0.01263412,0.01393779,0.01307025,
6,polar-1-l,ASE,-107198.06988263,-168940.23863556,-276142.49319946,-276185.36869996,,0.15382761,0.13231550,0.16527643,0.16590279,
6,polar-1-m,ASE,-107197.98885408,-168941.31630965,-276139.41706224,-276182.97853422,,0.07488025,0.06547668,0.07812521,0.07781726,
6,polar-1-s,ASE,-107198.16773926,-168941.22873893,-276140.12291142,-276174.68141894,,0.04160720,0.03928176,0.04353385,0.04271815,
6,uma-m-1p1,ASE,-107197.97942100,-168942.52278779,-276143.33087040,-276185.47934838,,0.09613776,0.09576199,0.09999145,0.09740839,
6,uma-s-1p1,ASE,-107197.99362421,-168943.02036758,-276142.28592693,-276186.12898171,,0.04276066,0.04297139,0.04377219,0.04608600,
6,uma-s-1p2,ASE,-107197.99814521,-168942.71045195,-276142.75845991,-276185.97867322,,0.05111840,0.04558523,0.04644479,0.04419221,
7,MACE-OMOL,ASE,-386552.66157785,,-386530.74984170,-386558.38410672,,0.09218648,,0.10133570,0.10190664,
7,aimnet2-nse,ASE,-386815.40911219,,-386797.36503661,-386827.07060748,,0.00330878,,0.00329212,0.00375488,
7,allscaip-md-conserving-all-omol,ASE,-386542.44511868,,-386535.04347196,-386558.14794202,,0.05438624,,0.05469845,0.05420065,
7,allscaip-md-direct-all-omol,ASE,-386542.03668406,,-386534.31131137,-386558.07261305,,0.01883787,,0.01883994,0.01879387,
7,esen-md-direct-all-omol,ASE,-386542.24278626,,-386534.54685970,-386557.96851159,,0.02564168,,0.02526710,0.02571641,
7,esen-sm-conserving-all-omol,ASE,-386544.34313152,,-386532.40112042,-386557.89825848,,0.03672360,,0.03608015,0.03677552,
7,esen-sm-direct-all-omol,ASE,-386540.52732538,,-386528.92920457,-386556.99897648,,0.01283239,,0.01292294,0.01303554,
7,orbmol_v1_conservative,ASE,-386546.50245888,,-386530.36880456,-386559.10448449,,0.01285913,,0.01336509,0.01235876,
7,orbmol_v1_direct,ASE,-386543.08599348,,-386532.63528056,-386557.87062272,,0.00760093,,0.00767972,0.00760326,
7,orbmol_v2,ASE,-386544.44557293,,-386532.73385696,-386557.86506983,,0.01377310,,0.01387673,0.01371248,
7,polar-1-l,ASE,-386548.24464964,,-386534.36266244,-386556.21761301,,0.20115949,,0.20460572,0.20534525,
7,polar-1-m,ASE,-386545.78078667,,-386533.20054443,-386555.76020785,,0.09348287,,0.09260598,0.09459216,
7,polar-1-s,ASE,-386538.32267945,,-386527.83866160,-386552.80187692,,0.04761142,,0.04686193,0.04705962,
7,uma-m-1p1,ASE,-386542.64841619,,-386534.03032225,-386557.80948387,,0.09513935,,0.09578200,0.09509078,
7,uma-s-1p1,ASE,-386541.73286660,,-386533.62516191,-386557.68932169,,0.04469852,,0.04521009,0.04333658,
7,uma-s-1p2,ASE,-386542.71590089,,-386533.54963707,-386557.02295226,,0.04243557,,0.04307877,0.04362446,
8,MACE-OMOL,ASE,-98633.02709272,-601374.99152427,-700008.19409082,-700042.91583517,,0.04570826,0.03995217,0.05347183,0.05395401,
8,aimnet2-nse,ASE,-98720.58415742,-601473.78511662,-700193.95501289,-700231.77822056,,0.00325204,0.00325690,0.00344858,0.00328513,
8,allscaip-md-conserving-all-omol,ASE,-98633.02840693,-601373.55337617,-700008.11750488,-700043.29119699,,0.05419537,0.05385875,0.05459256,0.05445198,
8,allscaip-md-direct-all-omol,ASE,-98633.05261352,-601375.09775466,-700007.66600392,-700043.45929477,,0.01894826,0.01876113,0.01886829,0.01884315,
8,esen-md-direct-all-omol,ASE,-98633.05654464,-601373.80346917,-700008.80470188,-700043.39466077,,0.02505553,0.02549889,0.02637238,0.02476304,
8,esen-sm-conserving-all-omol,ASE,-98633.04290337,-601374.54630769,-700006.54822571,-700042.90584316,,0.03527394,0.03496528,0.03658366,0.03589192,
8,esen-sm-direct-all-omol,ASE,-98633.10799368,-601373.53455562,-700007.62310180,-700042.53117707,,0.01249574,0.01238734,0.01272723,0.01265684,
8,orbmol_v1_conservative,ASE,-98633.01804005,-601373.90672652,-700005.77738124,-700042.44486690,,0.01218196,0.01309582,0.01156200,0.01315756,
8,orbmol_v1_direct,ASE,-98633.01327679,-601373.79949194,-700005.83273691,-700042.47342904,,0.00753210,0.00746294,0.00760514,0.00753341,
8,orbmol_v2,ASE,-98633.05237546,-601374.81491310,-700007.67872698,-700042.74318082,,0.01286523,0.01288735,0.01346247,0.01396255,
8,polar-1-l,ASE,-98633.00684941,-601373.79478607,-700007.97151623,-700042.78738616,,0.13552935,0.12736823,0.14213600,0.14274646,
8,polar-1-m,ASE,-98633.12344478,-601372.57856186,-700004.57298448,-700042.69398495,,0.06531743,0.06375039,0.06813005,0.06823212,
8,polar-1-s,ASE,-98632.94713548,-601373.98548791,-699999.18383014,-700039.87391381,,0.04436318,0.04120878,0.04099405,0.04096649,
8,uma-m-1p1,ASE,-98632.98954811,-601374.46879234,-700008.28087895,-700043.08960716,,0.09519267,0.09463163,0.09586167,0.09536106,
8,uma-s-1p1,ASE,-98633.02338782,-601375.01929346,-700007.53680937,-700042.63813639,,0.04344969,0.04371559,0.04815646,0.04342377,
8,uma-s-1p2,ASE,-98633.04481376,-601372.92816173,-700008.28224454,-700043.01492368,,0.04185147,0.04158781,0.04319581,0.04326844,
9,MACE-OMOL,ASE,-385812.20473524,,-385797.53232093,-385822.50326720,,0.09325385,,0.09568129,0.09729045,
9,aimnet2-nse,ASE,-386074.66398956,,-386055.16322532,-386083.05943469,,0.00331319,,0.00342243,0.00337259,
9,allscaip-md-conserving-all-omol,ASE,-385812.46645919,,-385800.78809996,-385822.58015758,,0.05398272,,0.05357872,0.05483755,
9,allscaip-md-direct-all-omol,ASE,-385813.10279953,,-385801.30286163,-385821.61954421,,0.01878346,,0.01886926,0.01876009,
9,esen-md-direct-all-omol,ASE,-385812.67397802,,-385800.97666212,-385821.88995718,,0.02537786,,0.02527425,0.02624952,
9,esen-sm-conserving-all-omol,ASE,-385811.86104757,,-385799.61027942,-385821.99130434,,0.03659475,,0.03589930,0.04902931,
9,esen-sm-direct-all-omol,ASE,-385811.27414091,,-385795.65148436,-385821.88831089,,0.01274863,,0.01302608,0.01290841,
9,orbmol_v1_conservative,ASE,-385813.09488959,,-385797.87684423,-385820.98533063,,0.01283995,,0.01257685,0.01301099,
9,orbmol_v1_direct,ASE,-385810.05985787,,-385797.43546339,-385821.98407051,,0.00929002,,0.00782892,0.00767821,
9,orbmol_v2,ASE,-385811.67836856,,-385799.84176958,-385821.67876836,,0.01818884,,0.01315509,0.01340101,
9,polar-1-l,ASE,-385812.21132093,,-385799.53809068,-385821.34562255,,0.19844608,,0.19910783,0.20134290,
9,polar-1-m,ASE,-385811.80181421,,-385795.95926511,-385820.69066351,,0.09101772,,0.09045305,0.09243063,
9,polar-1-s,ASE,-385810.45459134,,-385783.60721229,-385812.55905794,,0.04521257,,0.04512932,0.04556063,
9,uma-m-1p1,ASE,-385812.29802386,,-385801.24694955,-385821.80229579,,0.09448482,,0.09590939,0.09588019,
9,uma-s-1p1,ASE,-385812.05231556,,-385799.01748956,-385822.14674131,,0.04397112,,0.04472430,0.04415283,
9,uma-s-1p2,ASE,-385812.32018528,,-385800.99132741,-385821.94374586,,0.04719453,,0.04870738,0.04502621,
10,MACE-OMOL,ASE,-121118.70970369,,-121100.79159320,-96125.02774080,-24989.80551262,0.14664073,,0.04248130,0.37839032,0.12323946
10,aimnet2-nse,ASE,-121202.61380718,,-121182.88965981,-96184.18504036,-25011.08314829,0.00386710,,0.00359197,0.11027549,0.00406610
10,allscaip-md-conserving-all-omol,ASE,-121118.76132932,,-121100.80618313,-96123.34874901,-24986.24519207,0.05995195,,0.06104355,0.06195763,0.05618454
10,allscaip-md-direct-all-omol,ASE,-121118.48407848,,-121101.30449460,-96123.50925123,-24986.50758440,0.01955755,,0.01904424,0.01989387,0.01956084
10,esen-md-direct-all-omol,ASE,-121120.33348480,,-121101.86707064,-96123.46582912,-24986.54187293,0.02572965,,0.02518043,0.02912365,0.02597116
10,esen-sm-conserving-all-omol,ASE,-121119.51375939,,-121098.61886096,-96123.42889882,-24986.69671243,0.03684014,,0.03513743,0.03940273,0.03670235
10,esen-sm-direct-all-omol,ASE,-121121.05215768,,-121100.61198324,-96123.50922463,-24986.45869217,0.01400422,,0.01334940,0.01330728,0.01311101
10,orbmol_v1_conservative,ASE,-121121.65198126,,-121100.32416911,-96123.23791961,-24986.17894929,0.01189977,,0.01145054,0.01382422,0.01258395
10,orbmol_v1_direct,ASE,-121119.29791399,,-121098.64965768,-96124.02775974,-24987.56108818,0.01341710,,0.00932244,0.15280352,0.00879185
10,orbmol_v2,ASE,-121123.47013030,,-121101.89132607,-96123.87887283,-24986.85993116,0.06288123,,0.01564268,0.01517181,0.01459664
10,polar-1-l,ASE,-121117.42777454,,-121101.60188252,-96123.39629571,-24985.95980008,0.28293865,,0.17145988,0.47284808,0.21964244
10,polar-1-m,ASE,-121117.83571567,,-121100.68652262,-96122.48997319,-24985.75123277,0.12397879,,0.08023961,0.41391088,0.11127487
10,polar-1-s,ASE,-121118.09342437,,-121101.53508646,-96121.77357465,-24985.18833698,0.07191586,,0.04731949,0.39727423,0.06404936
10,uma-m-1p1,ASE,-121118.42054612,,-121101.25276703,-96123.73074828,-24986.16415621,0.10492311,,0.10512176,0.11350024,0.10544704
10,uma-s-1p1,ASE,-121118.99923423,,-121100.95007466,-96123.91222943,-24986.85563523,0.04433061,,0.04436566,0.04453999,0.04426401
10,uma-s-1p2,ASE,-121118.82636782,,-121100.37560936,-96123.79203443,-24986.05767671,0.04449233,,0.04530261,0.04448723,0.04468932
11,MACE-OMOL,ASE,-344113.93314831,,-344103.55686402,-216444.96404622,-127666.45742535,0.06689028,,0.06692239,0.04814810,0.03621837
11,aimnet2-nse,ASE,-344334.72209886,,-344321.34500565,-216589.92054399,-127743.34741379,0.00341729,,0.00332134,0.00352990,0.00325782
11,allscaip-md-conserving-all-omol,ASE,-344115.07984024,,-344103.58360985,-216443.60131936,-127667.18069032,0.06682041,,0.05893170,0.06191796,0.05722940
11,allscaip-md-direct-all-omol,ASE,-344113.94679936,,-344103.22936964,-216443.70704711,-127666.88878714,0.02131526,,0.02015816,0.02010555,0.01971020
11,esen-md-direct-all-omol,ASE,-344114.33483153,,-344103.28618843,-216443.61671028,-127666.96370682,0.02645364,,0.02741790,0.02541448,0.02516985
11,esen-sm-conserving-all-omol,ASE,-344114.85695351,,-344101.52864621,-216443.30447472,-127667.64968813,0.03577719,,0.03552677,0.03559852,0.03516227
11,esen-sm-direct-all-omol,ASE,-344115.71729713,,-344099.88329343,-216443.76244235,-127668.06107896,0.01294994,,0.01297827,0.01322924,0.01271269
11,orbmol_v1_conservative,ASE,-344112.82776955,,-344103.65237064,-216443.31300787,-127665.47521089,0.01186682,,0.01162715,0.01267146,0.01064321
11,orbmol_v1_direct,ASE,-344113.12964244,,-344100.74405822,-216444.65359862,-127667.25261121,0.00859172,,0.00851403,0.00873541,0.00840779
11,orbmol_v2,ASE,-344114.72400759,,-344102.67294565,-216443.26486408,-127667.40010484,0.01614047,,0.01482379,0.01600362,0.01525390
11,polar-1-l,ASE,-344115.37819342,,-344105.57810049,-216442.64817835,-127665.16462137,0.16227948,,0.16441866,0.13624635,0.14162147
11,polar-1-m,ASE,-344115.03096973,,-344102.54711050,-216442.59605361,-127661.90014249,0.07954233,,0.08027365,0.06806144,0.07218295
11,polar-1-s,ASE,-344108.97021026,,-344096.83131734,-216439.07465730,-127659.60706322,0.04277070,,0.04348770,0.04595303,0.04255301
11,uma-m-1p1,ASE,-344115.00170090,,-344103.72545066,-216443.70847094,-127667.24016748,0.10616113,,0.10428972,0.11038610,0.10522784
11,uma-s-1p1,ASE,-344113.22083577,,-344102.54964025,-216443.52910137,-127667.09702530,0.04388337,,0.04333042,0.04852413,0.04379758
11,uma-s-1p2,ASE,-344114.31685151,,-344102.71482189,-216443.30533418,-127667.37382725,0.04681657,,0.04977963,0.04412888,0.05397161
12,MACE-OMOL,ASE,-405588.06808318,-98635.24086995,-504223.65134339,-504263.22538716,,0.04435265,0.04551535,0.08281063,0.08286503,
12,aimnet2-nse,ASE,-405740.20499265,-98723.76412151,-504457.48447962,-504497.60007363,,0.00338359,0.00326478,0.00337311,0.00339711,
12,allscaip-md-conserving-all-omol,ASE,-405589.34494226,-98635.25215910,-504225.87185207,-504262.57555759,,0.05820545,0.05711927,0.06090954,0.05967340,
12,allscaip-md-direct-all-omol,ASE,-405589.16356115,-98635.28207131,-504226.12010337,-504262.54074935,,0.01948744,0.01911676,0.01853333,0.01913728,
12,esen-md-direct-all-omol,ASE,-405589.40411628,-98635.27271500,-504226.50371804,-504262.77747379,,0.02590314,0.02577053,0.02574529,0.02620951,
12,esen-sm-conserving-all-omol,ASE,-405588.16514086,-98635.27135785,-504224.35114185,-504262.17569356,,0.03681040,0.03634602,0.03706611,0.03597388,
12,esen-sm-direct-all-omol,ASE,-405588.28112504,-98635.29991035,-504222.08124096,-504261.53500847,,0.01295731,0.01262821,0.01289484,0.01298369,
12,orbmol_v1_conservative,ASE,-405588.48195973,-98635.25654215,-504223.27570927,-504261.72612613,,0.01041664,0.01112570,0.01087498,0.01228114,
12,orbmol_v1_direct,ASE,-405588.50918713,-98635.23173955,-504224.40656212,-504261.92557763,,0.00845521,0.00836762,0.00844955,0.00859575,
12,orbmol_v2,ASE,-405589.61581432,-98635.28954153,-504225.90574083,-504262.53088453,,0.01529539,0.01511583,0.01473125,0.01500585,
12,polar-1-l,ASE,-405588.75847151,-98635.32457524,-504222.44370692,-504261.77734250,,0.13574625,0.13694616,0.18395071,0.18001413,
12,polar-1-m,ASE,-405586.88499703,-98635.33458710,-504217.15576492,-504260.14711458,,0.06836836,0.06854102,0.08956070,0.08642506,
12,polar-1-s,ASE,-405581.25246611,-98635.11100786,-504206.54114562,-504256.40563508,,0.04114465,0.03974163,0.04576306,0.04345698,
12,uma-m-1p1,ASE,-405589.58479019,-98635.21688408,-504225.26696860,-504262.31779370,,0.10378466,0.10250178,0.10298885,0.10098733,
12,uma-s-1p1,ASE,-405589.12944195,-98635.25829094,-504224.64726622,-504261.88520313,,0.04336023,0.04421688,0.04336390,0.04434076,
12,uma-s-1p2,ASE,-405589.52397190,-98635.25248275,-504224.99730431,-504262.77932485,,0.04998252,0.04721253,0.04705865,0.05363171,
13,MACE-OMOL,ASE,-121118.70970369,-165089.91282283,-286201.67921564,-286230.85714811,,0.14664073,0.03969513,0.06261677,0.06368575,
13,aimnet2-nse,ASE,-121202.61380718,-165194.42478062,-286397.57512082,-286421.55290036,,0.00386710,0.00392046,0.00335843,0.00370209,
13,allscaip-md-conserving-all-omol,ASE,-121118.76132932,-165089.81765187,-286199.61357531,-286231.28888000,,0.05995195,0.05859347,0.05845261,0.05886545,
13,allscaip-md-direct-all-omol,ASE,-121118.48407848,-165089.79514280,-286199.00202574,-286231.26164809,,0.01955755,0.02371504,0.01911238,0.01915819,
13,esen-md-direct-all-omol,ASE,-121120.33348480,-165089.83955606,-286198.34553202,-286230.84615052,,0.02572965,0.02578771,0.02587403,0.02591403,
13,esen-sm-conserving-all-omol,ASE,-121119.51375939,-165089.85604625,-286200.42450617,-286230.43664916,,0.03684014,0.03584723,0.03527955,0.03538817,
13,esen-sm-direct-all-omol,ASE,-121121.05215768,-165089.74090026,-286198.06691175,-286230.71612396,,0.01400422,0.01278587,0.01282850,0.01285497,
