species,functional,program,energy_hartree,wall_time_seconds,gpu_time_seconds,cpu_time_seconds,cpu_time_source,nprocs,completed,output_file
23-P1,aimnet2-nse,ASE,-311.172164668701,,0.00349085,,,,True,structures/reference/23-P1.xyz
23-R1,aimnet2-nse,ASE,-311.164432871610,,0.00334990,,,,True,structures/reference/23-R1.xyz
23-TS,aimnet2-nse,ASE,-311.134686151958,,0.00334198,,,,True,structures/reference/23-TS.xyz
24-P1,aimnet2-nse,ASE,-463.731715473742,,0.00337588,,,,True,structures/reference/24-P1.xyz
24-R1,aimnet2-nse,ASE,-463.708129578669,,0.00361020,,,,True,structures/reference/24-R1.xyz
24-TS,aimnet2-nse,ASE,-463.694044046993,,0.00358317,,,,True,structures/reference/24-TS.xyz
25-P1,aimnet2-nse,ASE,-385.715216308070,,0.00331346,,,,True,structures/reference/25-P1.xyz
25-R1,aimnet2-nse,ASE,-385.033597891323,,0.00369687,,,,True,structures/reference/25-R1.xyz
25-R2,aimnet2-nse,ASE,-40.534725734646,,0.00448930,,,,True,structures/reference/25-R2.xyz
25-TS,aimnet2-nse,ASE,-425.544928778599,,0.00400157,,,,True,structures/reference/25-TS.xyz
26-P2,aimnet2-nse,ASE,-115.120188133540,,0.00324786,,,,True,structures/reference/26-P2.xyz
26-R2,aimnet2-nse,ASE,-115.795125808220,,0.00353657,,,,True,structures/reference/26-R2.xyz
26-TS,aimnet2-nse,ASE,-500.817274624539,,0.00332897,,,,True,structures/reference/26-TS.xyz
27-P1,aimnet2-nse,ASE,-75.781269178644,,0.00336276,,,,True,structures/reference/27-P1.xyz
27-P2,aimnet2-nse,ASE,-549.365678034163,,0.00323777,,,,True,structures/reference/27-P2.xyz
27-R1,aimnet2-nse,ASE,-548.670669245993,,0.00337286,,,,True,structures/reference/27-R1.xyz
27-R2,aimnet2-nse,ASE,-76.476799435634,,0.00326096,,,,True,structures/reference/27-R2.xyz
27-TS,aimnet2-nse,ASE,-625.133481969017,,0.00343477,,,,True,structures/reference/27-TS.xyz
28-TS,aimnet2-nse,ASE,-589.189811069189,,0.00331588,,,,True,structures/reference/28-TS.xyz
29-P1,aimnet2-nse,ASE,-157.888939219302,,0.00330661,,,,True,structures/reference/29-P1.xyz
29-R1,aimnet2-nse,ASE,-158.553670291973,,0.00327767,,,,True,structures/reference/29-R1.xyz
29-TS,aimnet2-nse,ASE,-707.222923280340,,0.00330742,,,,True,structures/reference/29-TS.xyz
3-P1,aimnet2-nse,ASE,-834.687268385478,,0.00340110,,,,True,structures/reference/3-P1.xyz
3-R1,aimnet2-nse,ASE,-834.664172512920,,0.00331129,,,,True,structures/reference/3-R1.xyz
3-TS,aimnet2-nse,ASE,-834.629388909311,,0.00330126,,,,True,structures/reference/3-TS.xyz
30-P1,aimnet2-nse,ASE,-117.331337100527,,0.00327096,,,,True,structures/reference/30-P1.xyz
30-R1,aimnet2-nse,ASE,-117.980804922301,,0.00504470,,,,True,structures/reference/30-R1.xyz
30-TS,aimnet2-nse,ASE,-666.648926030642,,0.00330787,,,,True,structures/reference/30-TS.xyz
31-P1,aimnet2-nse,ASE,-754.550530667167,,0.00340207,,,,True,structures/reference/31-P1.xyz
31-R1,aimnet2-nse,ASE,-754.531281317511,,0.00328372,,,,True,structures/reference/31-R1.xyz
31-TS,aimnet2-nse,ASE,-754.501222519107,,0.00329871,,,,True,structures/reference/31-TS.xyz
32-P1,aimnet2-nse,ASE,-562.654444373912,,0.00330052,,,,True,structures/reference/32-P1.xyz
32-R1,aimnet2-nse,ASE,-562.634455741360,,0.00329303,,,,True,structures/reference/32-R1.xyz
32-TS,aimnet2-nse,ASE,-562.613416661962,,0.00330010,,,,True,structures/reference/32-TS.xyz
33-P1,aimnet2-nse,ASE,-679.441650732760,,0.00347307,,,,True,structures/reference/33-P1.xyz
33-R1,aimnet2-nse,ASE,-679.427455116569,,0.00336997,,,,True,structures/reference/33-R1.xyz
33-TS,aimnet2-nse,ASE,-679.393124379337,,0.00331124,,,,True,structures/reference/33-TS.xyz
34-P1,aimnet2-nse,ASE,-1140.341932543416,,0.00342384,,,,True,structures/reference/34-P1.xyz
34-R1,aimnet2-nse,ASE,-1140.328476595119,,0.00351464,,,,True,structures/reference/34-R1.xyz
34-TS,aimnet2-nse,ASE,-1140.296755397331,,0.00331789,,,,True,structures/reference/34-TS.xyz
35-P1,aimnet2-nse,ASE,-3254.238984760335,,0.00328611,,,,True,structures/reference/35-P1.xyz
35-R1,aimnet2-nse,ASE,-3254.222412762151,,0.00329844,,,,True,structures/reference/35-R1.xyz
35-TS,aimnet2-nse,ASE,-3254.193738679088,,0.00328596,,,,True,structures/reference/35-TS.xyz
36-P1,aimnet2-nse,ASE,-1075.323996911450,,0.00329898,,,,True,structures/reference/36-P1.xyz
36-R1,aimnet2-nse,ASE,-1075.301402314334,,0.00328379,,,,True,structures/reference/36-R1.xyz
36-TS,aimnet2-nse,ASE,-1075.268590222856,,0.00327911,,,,True,structures/reference/36-TS.xyz
37-P1,aimnet2-nse,ASE,-752.323173411446,,0.00328580,,,,True,structures/reference/37-P1.xyz
37-R1,aimnet2-nse,ASE,-752.301544514940,,0.00326316,,,,True,structures/reference/37-R1.xyz
37-TS,aimnet2-nse,ASE,-752.269402159105,,0.00326652,,,,True,structures/reference/37-TS.xyz
38-P1,aimnet2-nse,ASE,-348.562112199854,,0.00332707,,,,True,structures/reference/38-P1.xyz
38-P2,aimnet2-nse,ASE,-460.190478182988,,0.00315460,,,,True,structures/reference/38-P2.xyz
38-R1,aimnet2-nse,ASE,-808.774653635024,,0.00352674,,,,True,structures/reference/38-R1.xyz
38-TS,aimnet2-nse,ASE,-808.755813212140,,0.00338355,,,,True,structures/reference/38-TS.xyz
39-P2,aimnet2-nse,ASE,-2574.110729199182,,0.00311586,,,,True,structures/reference/39-P2.xyz
39-R1,aimnet2-nse,ASE,-2922.672801577124,,0.00333407,,,,True,structures/reference/39-R1.xyz
39-TS,aimnet2-nse,ASE,-2922.662475313450,,0.00330307,,,,True,structures/reference/39-TS.xyz
4-P1,aimnet2-nse,ASE,-834.688897126695,,0.00330581,,,,True,structures/reference/4-P1.xyz
4-TS,aimnet2-nse,ASE,-834.633382643731,,0.00331624,,,,True,structures/reference/4-TS.xyz
40-P1,aimnet2-nse,ASE,-463.155075164673,,0.00331561,,,,True,structures/reference/40-P1.xyz
40-R1,aimnet2-nse,ASE,-923.368117385685,,0.00330687,,,,True,structures/reference/40-R1.xyz
40-TS,aimnet2-nse,ASE,-923.353562877642,,0.00561509,,,,True,structures/reference/40-TS.xyz
41-P1,aimnet2-nse,ASE,-823.091335829684,,0.00349183,,,,True,structures/reference/41-P1.xyz
41-R1,aimnet2-nse,ASE,-1283.299389224115,,0.00359354,,,,True,structures/reference/41-R1.xyz
41-TS,aimnet2-nse,ASE,-1283.297391056378,,0.00359897,,,,True,structures/reference/41-TS.xyz
42-P1,aimnet2-nse,ASE,-509.690415894349,,0.00332681,,,,True,structures/reference/42-P1.xyz
42-R1,aimnet2-nse,ASE,-431.024285128091,,0.00327839,,,,True,structures/reference/42-R1.xyz
42-TS,aimnet2-nse,ASE,-509.622945699204,,0.00330880,,,,True,structures/reference/42-TS.xyz
43-P1,aimnet2-nse,ASE,-304.930724148925,,0.00340404,,,,True,structures/reference/43-P1.xyz
43-R1,aimnet2-nse,ASE,-304.887480516987,,0.00353316,,,,True,structures/reference/43-R1.xyz
43-TS,aimnet2-nse,ASE,-304.869147501960,,0.00342407,,,,True,structures/reference/43-TS.xyz
44-P1,aimnet2-nse,ASE,-109.612826708761,,0.00336876,,,,True,structures/reference/44-P1.xyz
44-P2,aimnet2-nse,ASE,-195.348918227104,,0.00339683,,,,True,structures/reference/44-P2.xyz
44-TS,aimnet2-nse,ASE,-304.924306013461,,0.00341349,,,,True,structures/reference/44-TS.xyz
45-P1,aimnet2-nse,ASE,-422.947743946706,,0.00344940,,,,True,structures/reference/45-P1.xyz
45-R1,aimnet2-nse,ASE,-422.930339279929,,0.00339921,,,,True,structures/reference/45-R1.xyz
45-TS,aimnet2-nse,ASE,-422.898124384657,,0.00333286,,,,True,structures/reference/45-TS.xyz
46-P1,aimnet2-nse,ASE,-313.386589751100,,0.00335409,,,,True,structures/reference/46-P1.xyz
46-TS,aimnet2-nse,ASE,-422.944485688899,,0.00334767,,,,True,structures/reference/46-TS.xyz
47-P1,aimnet2-nse,ASE,-309.757831284460,,0.00344315,,,,True,structures/reference/47-P1.xyz
47-R1,aimnet2-nse,ASE,-419.369622406776,,0.00342697,,,,True,structures/reference/47-R1.xyz
47-TS,aimnet2-nse,ASE,-419.340137083342,,0.00433390,,,,True,structures/reference/47-TS.xyz
48-P1,aimnet2-nse,ASE,-952.101002569698,,0.00439474,,,,True,structures/reference/48-P1.xyz
48-R1,aimnet2-nse,ASE,-1061.667932565357,,0.00348388,,,,True,structures/reference/48-R1.xyz
48-TS,aimnet2-nse,ASE,-1061.667127329140,,0.00333756,,,,True,structures/reference/48-TS.xyz
49-P1,aimnet2-nse,ASE,-477.571971510577,,0.00335873,,,,True,structures/reference/49-P1.xyz
49-R1,aimnet2-nse,ASE,-587.096329489313,,0.00356367,,,,True,structures/reference/49-R1.xyz
49-TS,aimnet2-nse,ASE,-587.092677547217,,0.00338550,,,,True,structures/reference/49-TS.xyz
5-P1,aimnet2-nse,ASE,-440.404210653244,,0.00329787,,,,True,structures/reference/5-P1.xyz
5-R1,aimnet2-nse,ASE,-170.950316132196,,0.00341964,,,,True,structures/reference/5-R1.xyz
5-R2,aimnet2-nse,ASE,-269.410703026399,,0.00335874,,,,True,structures/reference/5-R2.xyz
5-TS,aimnet2-nse,ASE,-440.358704561044,,0.00410305,,,,True,structures/reference/5-TS.xyz
50-R1,aimnet2-nse,ASE,-645.402417019938,,0.00435182,,,,True,structures/reference/50-R1.xyz
50-R2,aimnet2-nse,ASE,-416.225371654372,,0.00420730,,,,True,structures/reference/50-R2.xyz
50-TS,aimnet2-nse,ASE,-1061.610659686873,,0.00332132,,,,True,structures/reference/50-TS.xyz
6-P1,aimnet2-nse,ASE,-440.428915209636,,0.00331906,,,,True,structures/reference/6-P1.xyz
6-TS,aimnet2-nse,ASE,-440.360121411579,,0.00377396,,,,True,structures/reference/6-TS.xyz
7-P1,aimnet2-nse,ASE,-616.448150358644,,0.00375488,,,,True,structures/reference/7-P1.xyz
7-R1,aimnet2-nse,ASE,-616.429566583752,,0.00330878,,,,True,structures/reference/7-R1.xyz
7-TS,aimnet2-nse,ASE,-616.400811520156,,0.00329212,,,,True,structures/reference/7-TS.xyz
8-P1,aimnet2-nse,ASE,-1115.890322330678,,0.00328513,,,,True,structures/reference/8-P1.xyz
8-R1,aimnet2-nse,ASE,-157.321258335406,,0.00325204,,,,True,structures/reference/8-R1.xyz
8-R2,aimnet2-nse,ASE,-958.509449046772,,0.00325690,,,,True,structures/reference/8-R2.xyz
8-TS,aimnet2-nse,ASE,-1115.830047215049,,0.00344858,,,,True,structures/reference/8-TS.xyz
9-P1,aimnet2-nse,ASE,-615.262493133079,,0.00337259,,,,True,structures/reference/9-P1.xyz
9-R1,aimnet2-nse,ASE,-615.249114140197,,0.00331319,,,,True,structures/reference/9-R1.xyz
9-TS,aimnet2-nse,ASE,-615.218037695554,,0.00342243,,,,True,structures/reference/9-TS.xyz
1-P1,allscaip-md-conserving-all-omol,ASE,-616.783908518409,,0.05570123,,,,True,structures/reference/1-P1.xyz
1-R1,allscaip-md-conserving-all-omol,ASE,-616.780247257981,,0.05935305,,,,True,structures/reference/1-R1.xyz
1-TS,allscaip-md-conserving-all-omol,ASE,-616.767197979785,,0.05885653,,,,True,structures/reference/1-TS.xyz
10-P1,allscaip-md-conserving-all-omol,ASE,-153.182300425754,,0.06195763,,,,True,structures/reference/10-P1.xyz
10-P2,allscaip-md-conserving-all-omol,ASE,-39.818114613522,,0.05618454,,,,True,structures/reference/10-P2.xyz
10-R1,allscaip-md-conserving-all-omol,ASE,-193.015024201739,,0.05995195,,,,True,structures/reference/10-R1.xyz
10-TS,allscaip-md-conserving-all-omol,ASE,-192.986410856137,,0.06104355,,,,True,structures/reference/10-TS.xyz
11-P1,allscaip-md-conserving-all-omol,ASE,-344.924819973810,,0.06191796,,,,True,structures/reference/11-P1.xyz
11-P2,allscaip-md-conserving-all-omol,ASE,-203.450594278365,,0.05722940,,,,True,structures/reference/11-P2.xyz
11-R1,allscaip-md-conserving-all-omol,ASE,-548.382263280856,,0.06682041,,,,True,structures/reference/11-R1.xyz
11-TS,allscaip-md-conserving-all-omol,ASE,-548.363942872346,,0.05893170,,,,True,structures/reference/11-TS.xyz
12-P1,allscaip-md-conserving-all-omol,ASE,-803.593532141889,,0.05967340,,,,True,structures/reference/12-P1.xyz
12-R1,allscaip-md-conserving-all-omol,ASE,-646.347736476115,,0.05820545,,,,True,structures/reference/12-R1.xyz
12-R2,allscaip-md-conserving-all-omol,ASE,-157.185273145817,,0.05711927,,,,True,structures/reference/12-R2.xyz
12-TS,allscaip-md-conserving-all-omol,ASE,-803.535041066415,,0.06090954,,,,True,structures/reference/12-TS.xyz
13-P1,allscaip-md-conserving-all-omol,ASE,-456.138574603251,,0.05886545,,,,True,structures/reference/13-P1.xyz
13-R2,allscaip-md-conserving-all-omol,ASE,-263.087359875627,,0.05859347,,,,True,structures/reference/13-R2.xyz
13-TS,allscaip-md-conserving-all-omol,ASE,-456.088096794254,,0.05845261,,,,True,structures/reference/13-TS.xyz
14-P1,allscaip-md-conserving-all-omol,ASE,-388.336921190242,,0.05915051,,,,True,structures/reference/14-P1.xyz
14-R1,allscaip-md-conserving-all-omol,ASE,-193.008657172863,,0.05889009,,,,True,structures/reference/14-R1.xyz
14-R2,allscaip-md-conserving-all-omol,ASE,-195.254065994920,,0.05664834,,,,True,structures/reference/14-R2.xyz
14-TS,allscaip-md-conserving-all-omol,ASE,-388.283560117850,,0.06156035,,,,True,structures/reference/14-TS.xyz
15-P1,allscaip-md-conserving-all-omol,ASE,-384.981724295053,,0.05792034,,,,True,structures/reference/15-P1.xyz
15-R1,allscaip-md-conserving-all-omol,ASE,-306.393206819741,,0.05856313,,,,True,structures/reference/15-R1.xyz
15-R2,allscaip-md-conserving-all-omol,ASE,-78.566523536679,,0.05772811,,,,True,structures/reference/15-R2.xyz
15-TS,allscaip-md-conserving-all-omol,ASE,-384.923707007461,,0.05833541,,,,True,structures/reference/15-TS.xyz
16-P1,allscaip-md-conserving-all-omol,ASE,-460.210608868315,,0.05860507,,,,True,structures/reference/16-P1.xyz
16-R1,allscaip-md-conserving-all-omol,ASE,-381.628673119095,,0.05676874,,,,True,structures/reference/16-R1.xyz
16-TS,allscaip-md-conserving-all-omol,ASE,-460.162703868648,,0.05787030,,,,True,structures/reference/16-TS.xyz
17-P1,allscaip-md-conserving-all-omol,ASE,-647.650180688549,,0.06434445,,,,True,structures/reference/17-P1.xyz
17-R2,allscaip-md-conserving-all-omol,ASE,-341.224698706408,,0.05930728,,,,True,structures/reference/17-R2.xyz
17-TS,allscaip-md-conserving-all-omol,ASE,-647.610371344014,,0.06299715,,,,True,structures/reference/17-TS.xyz
18-P1,allscaip-md-conserving-all-omol,ASE,-555.289120610379,,0.05794561,,,,True,structures/reference/18-P1.xyz
18-R1,allscaip-md-conserving-all-omol,ASE,-398.091518469025,,0.00136892,,,,True,structures/reference/18-R1.xyz
18-TS,allscaip-md-conserving-all-omol,ASE,-555.274737640509,,0.05710420,,,,True,structures/reference/18-TS.xyz
19-P1,allscaip-md-conserving-all-omol,ASE,-554.060284683486,,0.05906128,,,,True,structures/reference/19-P1.xyz
19-R2,allscaip-md-conserving-all-omol,ASE,-155.962812195777,,0.05859503,,,,True,structures/reference/19-R2.xyz
19-TS,allscaip-md-conserving-all-omol,ASE,-554.050587035254,,0.05786702,,,,True,structures/reference/19-TS.xyz
2-P1,allscaip-md-conserving-all-omol,ASE,-616.807512976392,,0.06350159,,,,True,structures/reference/2-P1.xyz
2-TS,allscaip-md-conserving-all-omol,ASE,-616.778696617329,,0.05839878,,,,True,structures/reference/2-TS.xyz
20-P1,allscaip-md-conserving-all-omol,ASE,-780.250185570119,,0.05955786,,,,True,structures/reference/20-P1.xyz
20-P2,allscaip-md-conserving-all-omol,ASE,-231.542194865274,,0.05899894,,,,True,structures/reference/20-P2.xyz
20-R1,allscaip-md-conserving-all-omol,ASE,-1011.794043431977,,0.05880969,,,,True,structures/reference/20-R1.xyz
20-TS,allscaip-md-conserving-all-omol,ASE,-1011.776531651476,,0.05824762,,,,True,structures/reference/20-TS.xyz
21-P1,allscaip-md-conserving-all-omol,ASE,-914.580943008431,,0.05961604,,,,True,structures/reference/21-P1.xyz
21-R1,allscaip-md-conserving-all-omol,ASE,-914.567177998376,,0.05864341,,,,True,structures/reference/21-R1.xyz
21-TS,allscaip-md-conserving-all-omol,ASE,-914.553945591446,,0.05914137,,,,True,structures/reference/21-TS.xyz
22-P1,allscaip-md-conserving-all-omol,ASE,-595.214806207829,,0.06204903,,,,True,structures/reference/22-P1.xyz
22-R1,allscaip-md-conserving-all-omol,ASE,-595.191818423329,,0.05943642,,,,True,structures/reference/22-R1.xyz
22-TS,allscaip-md-conserving-all-omol,ASE,-595.177281805727,,0.05825072,,,,True,structures/reference/22-TS.xyz
23-P1,allscaip-md-conserving-all-omol,ASE,-310.933062999845,,0.05925787,,,,True,structures/reference/23-P1.xyz
23-R1,allscaip-md-conserving-all-omol,ASE,-310.928155432769,,0.05859951,,,,True,structures/reference/23-R1.xyz
23-TS,allscaip-md-conserving-all-omol,ASE,-310.911881700993,,0.05900794,,,,True,structures/reference/23-TS.xyz
24-P1,allscaip-md-conserving-all-omol,ASE,-463.393456169938,,0.05798578,,,,True,structures/reference/24-P1.xyz
24-R1,allscaip-md-conserving-all-omol,ASE,-463.355434194619,,0.05809520,,,,True,structures/reference/24-R1.xyz
24-TS,allscaip-md-conserving-all-omol,ASE,-463.369223448357,,0.06132905,,,,True,structures/reference/24-TS.xyz
25-P1,allscaip-md-conserving-all-omol,ASE,-385.441072263931,,0.05883412,,,,True,structures/reference/25-P1.xyz
25-R1,allscaip-md-conserving-all-omol,ASE,-384.745119817545,,0.05952924,,,,True,structures/reference/25-R1.xyz
25-R2,allscaip-md-conserving-all-omol,ASE,-40.491087807956,,0.05811742,,,,True,structures/reference/25-R2.xyz
25-TS,allscaip-md-conserving-all-omol,ASE,-425.236791414602,,0.05846296,,,,True,structures/reference/25-TS.xyz
26-P2,allscaip-md-conserving-all-omol,ASE,-115.047832089142,,0.05741012,,,,True,structures/reference/26-P2.xyz
26-R2,allscaip-md-conserving-all-omol,ASE,-115.716981122421,,0.05919005,,,,True,structures/reference/26-R2.xyz
26-TS,allscaip-md-conserving-all-omol,ASE,-500.469350285733,,0.05737859,,,,True,structures/reference/26-TS.xyz
27-P1,allscaip-md-conserving-all-omol,ASE,-75.742541893297,,0.05809323,,,,True,structures/reference/27-P1.xyz
27-P2,allscaip-md-conserving-all-omol,ASE,-549.227333849649,,0.05682882,,,,True,structures/reference/27-P2.xyz
27-R1,allscaip-md-conserving-all-omol,ASE,-548.544668117257,,0.05747005,,,,True,structures/reference/27-R1.xyz
27-R2,allscaip-md-conserving-all-omol,ASE,-76.433578851737,,0.05760225,,,,True,structures/reference/27-R2.xyz
27-TS,allscaip-md-conserving-all-omol,ASE,-624.964043636861,,0.05820406,,,,True,structures/reference/27-TS.xyz
28-TS,allscaip-md-conserving-all-omol,ASE,-589.023402183111,,0.06222620,,,,True,structures/reference/28-TS.xyz
29-P1,allscaip-md-conserving-all-omol,ASE,-157.744868503471,,0.05852102,,,,True,structures/reference/29-P1.xyz
29-R1,allscaip-md-conserving-all-omol,ASE,-158.403103102368,,0.05761526,,,,True,structures/reference/29-R1.xyz
29-TS,allscaip-md-conserving-all-omol,ASE,-706.943563814831,,0.05905366,,,,True,structures/reference/29-TS.xyz
3-P1,allscaip-md-conserving-all-omol,ASE,-834.251879482283,,0.05865269,,,,True,structures/reference/3-P1.xyz
3-R1,allscaip-md-conserving-all-omol,ASE,-834.230094881977,,0.05883113,,,,True,structures/reference/3-R1.xyz
3-TS,allscaip-md-conserving-all-omol,ASE,-834.211032145402,,0.05768927,,,,True,structures/reference/3-TS.xyz
30-P1,allscaip-md-conserving-all-omol,ASE,-117.231413637343,,0.05884164,,,,True,structures/reference/30-P1.xyz
30-R1,allscaip-md-conserving-all-omol,ASE,-117.875431409960,,0.05887036,,,,True,structures/reference/30-R1.xyz
30-TS,allscaip-md-conserving-all-omol,ASE,-666.413572102988,,0.05827750,,,,True,structures/reference/30-TS.xyz
31-P1,allscaip-md-conserving-all-omol,ASE,-754.138055379161,,0.05968431,,,,True,structures/reference/31-P1.xyz
31-R1,allscaip-md-conserving-all-omol,ASE,-754.115776425023,,0.05982898,,,,True,structures/reference/31-R1.xyz
31-TS,allscaip-md-conserving-all-omol,ASE,-754.102494470560,,0.05854431,,,,True,structures/reference/31-TS.xyz
32-P1,allscaip-md-conserving-all-omol,ASE,-562.378715153265,,0.05964638,,,,True,structures/reference/32-P1.xyz
32-R1,allscaip-md-conserving-all-omol,ASE,-562.363474594889,,0.05865889,,,,True,structures/reference/32-R1.xyz
32-TS,allscaip-md-conserving-all-omol,ASE,-562.347979447180,,0.05855907,,,,True,structures/reference/32-TS.xyz
33-P1,allscaip-md-conserving-all-omol,ASE,-679.070837359879,,0.05858392,,,,True,structures/reference/33-P1.xyz
33-R1,allscaip-md-conserving-all-omol,ASE,-679.057337843118,,0.05892017,,,,True,structures/reference/33-R1.xyz
33-TS,allscaip-md-conserving-all-omol,ASE,-679.041461840913,,0.05893035,,,,True,structures/reference/33-TS.xyz
34-P1,allscaip-md-conserving-all-omol,ASE,-1139.895417469551,,0.05887462,,,,True,structures/reference/34-P1.xyz
34-R1,allscaip-md-conserving-all-omol,ASE,-1139.881354341932,,0.05921241,,,,True,structures/reference/34-R1.xyz
34-TS,allscaip-md-conserving-all-omol,ASE,-1139.865116936253,,0.05862695,,,,True,structures/reference/34-TS.xyz
35-P1,allscaip-md-conserving-all-omol,ASE,-3253.716588926336,,0.05933081,,,,True,structures/reference/35-P1.xyz
35-R1,allscaip-md-conserving-all-omol,ASE,-3253.702491658670,,0.05957720,,,,True,structures/reference/35-R1.xyz
