species,model,backend,energy_eV,energy_hartree,max_force_eV_per_A,n_atoms,charge,spin_multiplicity,device,repeats,mean_time_seconds,median_time_seconds,min_time_seconds,stdev_time_seconds,status,input_file,error
21-R1,extra_large,mace,-24886.639316741272,-914.567126120247,,22,0,3,cuda,1,0.07335338,0.07335338,0.07335338,0.00000000,completed,structures/reference/21-R1.xyz,
21-TS,extra_large,mace,-24886.281541135690,-914.553978109251,,22,0,3,cuda,1,0.07441640,0.07441640,0.07441640,0.00000000,completed,structures/reference/21-TS.xyz,
22-P1,extra_large,mace,-16196.556416134961,-595.212469872716,,28,0,3,cuda,1,0.10206549,0.10206549,0.10206549,0.00000000,completed,structures/reference/22-P1.xyz,
22-R1,extra_large,mace,-16195.978661059744,-595.191237765318,,28,0,3,cuda,1,0.10466498,0.10466498,0.10466498,0.00000000,completed,structures/reference/22-R1.xyz,
22-TS,extra_large,mace,-16195.528276608160,-595.174686442004,,28,0,3,cuda,1,0.10507040,0.10507040,0.10507040,0.00000000,completed,structures/reference/22-TS.xyz,
23-P1,extra_large,mace,-8460.954044047623,-310.934326078117,,19,0,3,cuda,1,0.06955353,0.06955353,0.06955353,0.00000000,completed,structures/reference/23-P1.xyz,
23-R1,extra_large,mace,-8460.775281207374,-310.927756664908,,19,0,3,cuda,1,0.06670106,0.06670106,0.06670106,0.00000000,completed,structures/reference/23-R1.xyz,
23-TS,extra_large,mace,-8460.269102202275,-310.909154929571,,19,0,3,cuda,1,0.06659231,0.06659231,0.06659231,0.00000000,completed,structures/reference/23-TS.xyz,
24-P1,extra_large,mace,-12609.559225932195,-463.392754486785,,23,0,3,cuda,1,0.08138462,0.08138462,0.08138462,0.00000000,completed,structures/reference/24-P1.xyz,
24-R1,extra_large,mace,-12608.963562641540,-463.370864264609,,23,0,3,cuda,1,0.08047671,0.08047671,0.08047671,0.00000000,completed,structures/reference/24-R1.xyz,
24-TS,extra_large,mace,-12608.804348780244,-463.365013263125,,23,0,3,cuda,1,0.08153820,0.08153820,0.08153820,0.00000000,completed,structures/reference/24-TS.xyz,
25-P1,extra_large,mace,-10488.419184453827,-385.442295722814,,18,0,2,cuda,1,0.06205465,0.06205465,0.06205465,0.00000000,completed,structures/reference/25-P1.xyz,
25-R1,extra_large,mace,-10469.963399167336,-384.764058123316,,17,0,3,cuda,1,0.05863501,0.05863501,0.05863501,0.00000000,completed,structures/reference/25-R1.xyz,
25-R2,extra_large,mace,-1101.818839982403,-40.491095529720,,5,0,1,cuda,1,0.03788323,0.03788323,0.03788323,0.00000000,completed,structures/reference/25-R2.xyz,
25-TS,extra_large,mace,-11571.107141194041,-425.230344260762,,22,0,3,cuda,1,0.07621619,0.07621619,0.07621619,0.00000000,completed,structures/reference/25-TS.xyz,
26-P2,extra_large,mace,-3130.604601834111,-115.047597117390,,5,0,2,cuda,1,0.03924764,0.03924764,0.03924764,0.00000000,completed,structures/reference/26-P2.xyz,
26-R2,extra_large,mace,-3148.822023314836,-115.717075008595,,6,0,1,cuda,1,0.03782446,0.03782446,0.03782446,0.00000000,completed,structures/reference/26-R2.xyz,
26-TS,extra_large,mace,-13618.431508160191,-500.468127020470,,23,0,3,cuda,1,0.07843797,0.07843797,0.07843797,0.00000000,completed,structures/reference/26-TS.xyz,
27-P1,extra_large,mace,-2061.055947818514,-75.742409048433,,2,0,2,cuda,1,0.04091693,0.04091693,0.04091693,0.00000000,completed,structures/reference/27-P1.xyz,
27-P2,extra_large,mace,-14945.302797654565,-549.229747523725,,4,0,2,cuda,1,0.03557479,0.03557479,0.03557479,0.00000000,completed,structures/reference/27-P2.xyz,
27-R1,extra_large,mace,-14926.627951248898,-548.543459576583,,3,0,3,cuda,1,0.03819137,0.03819137,0.03819137,0.00000000,completed,structures/reference/27-R1.xyz,
27-R2,extra_large,mace,-2079.865300112365,-76.433639995795,,3,0,1,cuda,1,0.03891267,0.03891267,0.03891267,0.00000000,completed,structures/reference/27-R2.xyz,
27-TS,extra_large,mace,-17006.188433258765,-624.965897713724,,6,0,3,cuda,1,0.03781177,0.03781177,0.03781177,0.00000000,completed,structures/reference/27-TS.xyz,
28-TS,extra_large,mace,-16028.215312981436,-589.026048437522,,8,0,3,cuda,1,0.03815883,0.03815883,0.03815883,0.00000000,completed,structures/reference/28-TS.xyz,
29-P1,extra_large,mace,-4292.485719321554,-157.745940633746,,13,0,2,cuda,1,0.04819646,0.04819646,0.04819646,0.00000000,completed,structures/reference/29-P1.xyz,
29-R1,extra_large,mace,-4310.363303086291,-158.402929719239,,14,0,1,cuda,1,0.05103398,0.05103398,0.05103398,0.00000000,completed,structures/reference/29-R1.xyz,
29-TS,extra_large,mace,-19236.908715037360,-706.943356032573,,17,0,3,cuda,1,0.06052740,0.06052740,0.06052740,0.00000000,completed,structures/reference/29-TS.xyz,
3-P1,extra_large,mace,-22701.141625209199,-834.251567339985,,21,0,3,cuda,1,0.07536156,0.07536156,0.07536156,0.00000000,completed,structures/reference/3-P1.xyz,
3-R1,extra_large,mace,-22700.381557454402,-834.223635365189,,21,0,3,cuda,1,0.07240981,0.07240981,0.07240981,0.00000000,completed,structures/reference/3-R1.xyz,
3-TS,extra_large,mace,-22699.817230433713,-834.202896729693,,21,0,3,cuda,1,0.07603757,0.07603757,0.07603757,0.00000000,completed,structures/reference/3-TS.xyz,
30-P1,extra_large,mace,-3190.068523917657,-117.232855947866,,8,0,2,cuda,1,0.03737201,0.03737201,0.03737201,0.00000000,completed,structures/reference/30-P1.xyz,
30-R1,extra_large,mace,-3207.555292408937,-117.875482836963,,9,0,1,cuda,1,0.04042797,0.04042797,0.04042797,0.00000000,completed,structures/reference/30-R1.xyz,
30-TS,extra_large,mace,-18134.107476740155,-666.416158030678,,12,0,3,cuda,1,0.04535162,0.04535162,0.04535162,0.00000000,completed,structures/reference/30-TS.xyz,
31-P1,extra_large,mace,-20521.171349195542,-754.139137333408,,26,0,3,cuda,1,0.08981516,0.08981516,0.08981516,0.00000000,completed,structures/reference/31-P1.xyz,
31-R1,extra_large,mace,-20520.439932391091,-754.112258261616,,26,0,3,cuda,1,0.09293775,0.09293775,0.09293775,0.00000000,completed,structures/reference/31-R1.xyz,
31-TS,extra_large,mace,-20520.101833926085,-754.099833372199,,26,0,3,cuda,1,0.09237808,0.09237808,0.09237808,0.00000000,completed,structures/reference/31-TS.xyz,
32-P1,extra_large,mace,-15303.110825881409,-562.378950030070,,19,0,3,cuda,1,0.06844437,0.06844437,0.06844437,0.00000000,completed,structures/reference/32-P1.xyz,
32-R1,extra_large,mace,-15302.662553535933,-562.362476325223,,19,0,3,cuda,1,0.06948135,0.06948135,0.06948135,0.00000000,completed,structures/reference/32-R1.xyz,
32-TS,extra_large,mace,-15302.142316820382,-562.343357978556,,19,0,3,cuda,1,0.06995347,0.06995347,0.06995347,0.00000000,completed,structures/reference/32-TS.xyz,
33-P1,extra_large,mace,-18478.443162278225,-679.070261075091,,26,0,3,cuda,1,0.09751712,0.09751712,0.09751712,0.00000000,completed,structures/reference/33-P1.xyz,
33-R1,extra_large,mace,-18478.065508245912,-679.056382545387,,26,0,3,cuda,1,0.09772162,0.09772162,0.09772162,0.00000000,completed,structures/reference/33-R1.xyz,
33-TS,extra_large,mace,-18477.536174189700,-679.036929877617,,26,0,3,cuda,1,0.09779121,0.09779121,0.09779121,0.00000000,completed,structures/reference/33-TS.xyz,
34-P1,extra_large,mace,-31018.122388858719,-1139.894972952066,,28,0,3,cuda,1,0.10449674,0.10449674,0.10449674,0.00000000,completed,structures/reference/34-P1.xyz,
34-R1,extra_large,mace,-31017.715162869350,-1139.880007672985,,28,0,3,cuda,1,0.10480941,0.10480941,0.10480941,0.00000000,completed,structures/reference/34-R1.xyz,
34-TS,extra_large,mace,-31017.216512846895,-1139.861682622657,,28,0,3,cuda,1,0.10514898,0.10514898,0.10514898,0.00000000,completed,structures/reference/34-TS.xyz,
35-P1,extra_large,mace,-88538.181989896199,-3253.718174793470,,28,0,3,cuda,1,0.10453959,0.10453959,0.10453959,0.00000000,completed,structures/reference/35-P1.xyz,
35-R1,extra_large,mace,-88537.740440682202,-3253.701948159148,,28,0,3,cuda,1,0.10491420,0.10491420,0.10491420,0.00000000,completed,structures/reference/35-R1.xyz,
35-TS,extra_large,mace,-88537.160881951364,-3253.680649768629,,28,0,3,cuda,1,0.10142557,0.10142557,0.10142557,0.00000000,completed,structures/reference/35-TS.xyz,
36-P1,extra_large,mace,-29249.739107598863,-1074.908086019006,,23,0,3,cuda,1,0.07877755,0.07877755,0.07877755,0.00000000,completed,structures/reference/36-P1.xyz,
36-R1,extra_large,mace,-29248.931316370086,-1074.878400238889,,23,0,3,cuda,1,0.08050590,0.08050590,0.08050590,0.00000000,completed,structures/reference/36-R1.xyz,
36-TS,extra_large,mace,-29248.637278209881,-1074.867594535808,,23,0,3,cuda,1,0.07915394,0.07915394,0.07915394,0.00000000,completed,structures/reference/36-TS.xyz,
37-P1,extra_large,mace,-20461.356673680792,-751.940988552084,,23,0,3,cuda,1,0.07928318,0.07928318,0.07928318,0.00000000,completed,structures/reference/37-P1.xyz,
37-R1,extra_large,mace,-20460.712825559869,-751.917327570056,,23,0,3,cuda,1,0.07995530,0.07995530,0.07995530,0.00000000,completed,structures/reference/37-R1.xyz,
37-TS,extra_large,mace,-20460.256875470583,-751.900571713329,,23,0,3,cuda,1,0.07939011,0.07939011,0.07939011,0.00000000,completed,structures/reference/37-TS.xyz,
38-P1,extra_large,mace,-9477.528507267360,-348.292748542523,,18,0,2,cuda,1,0.06151151,0.06151151,0.06151151,0.00000000,completed,structures/reference/38-P1.xyz,
38-P2,extra_large,mace,-12520.860255258613,-460.133127436853,,1,0,2,cuda,1,0.03244190,0.03244190,0.03244190,0.00000000,completed,structures/reference/38-P2.xyz,
38-R1,extra_large,mace,-21998.710425159912,-808.437696863142,,19,0,3,cuda,1,0.06701369,0.06701369,0.06701369,0.00000000,completed,structures/reference/38-R1.xyz,
38-TS,extra_large,mace,-21998.341706140756,-808.424146689115,,19,0,3,cuda,1,0.06549706,0.06549706,0.06549706,0.00000000,completed,structures/reference/38-TS.xyz,
39-P2,extra_large,mace,-70041.433625524471,-2573.975209949153,,1,0,2,cuda,1,0.03003242,0.03003242,0.03003242,0.00000000,completed,structures/reference/39-P2.xyz,
39-R1,extra_large,mace,-79518.798465489541,-2922.261943829255,,19,0,3,cuda,1,0.06640598,0.06640598,0.06640598,0.00000000,completed,structures/reference/39-R1.xyz,
39-TS,extra_large,mace,-79518.649191519959,-2922.256458112054,,19,0,3,cuda,1,0.06663634,0.06663634,0.06663634,0.00000000,completed,structures/reference/39-TS.xyz,
4-P1,extra_large,mace,-22701.308417956614,-834.257696860396,,21,0,3,cuda,1,0.07597439,0.07597439,0.07597439,0.00000000,completed,structures/reference/4-P1.xyz,
4-TS,extra_large,mace,-22699.714080419457,-834.199106036587,,21,0,3,cuda,1,0.07609473,0.07609473,0.07609473,0.00000000,completed,structures/reference/4-TS.xyz,
40-P1,extra_large,mace,-12593.944787420627,-462.818934455331,,22,0,2,cuda,1,0.07458587,0.07458587,0.07458587,0.00000000,completed,structures/reference/40-P1.xyz,
40-R1,extra_large,mace,-25115.259769019602,-922.968772776968,,23,0,3,cuda,1,0.07842683,0.07842683,0.07842683,0.00000000,completed,structures/reference/40-R1.xyz,
40-TS,extra_large,mace,-25114.893789685084,-922.955323284494,,23,0,3,cuda,1,0.07627888,0.07627888,0.07627888,0.00000000,completed,structures/reference/40-TS.xyz,
41-P1,extra_large,mace,-22387.035331113646,-822.708373940867,,21,0,2,cuda,1,0.07219239,0.07219239,0.07219239,0.00000000,completed,structures/reference/41-P1.xyz,
41-R1,extra_large,mace,-34908.294243113109,-1282.856151742726,,22,0,3,cuda,1,0.07364536,0.07364536,0.07364536,0.00000000,completed,structures/reference/41-R1.xyz,
41-TS,extra_large,mace,-34908.075261584039,-1282.848104319964,,22,0,3,cuda,1,0.07328361,0.07328361,0.07328361,0.00000000,completed,structures/reference/41-TS.xyz,
42-P1,extra_large,mace,-13861.056988222668,-509.384448955309,,17,0,3,cuda,1,0.06121188,0.06121188,0.06121188,0.00000000,completed,structures/reference/42-P1.xyz,
42-R1,extra_large,mace,-11722.196854181870,-430.782788800779,,11,0,3,cuda,1,0.04330232,0.04330232,0.04330232,0.00000000,completed,structures/reference/42-R1.xyz,
42-TS,extra_large,mace,-13859.457236708888,-509.325659171528,,17,0,3,cuda,1,0.06121124,0.06121124,0.06121124,0.00000000,completed,structures/reference/42-TS.xyz,
43-P1,extra_large,mace,-8291.738755948516,-304.715778938717,,15,0,3,cuda,1,0.05364518,0.05364518,0.05364518,0.00000000,completed,structures/reference/43-P1.xyz,
43-R1,extra_large,mace,-8290.936818116492,-304.686308266963,,15,0,3,cuda,1,0.05321221,0.05321221,0.05321221,0.00000000,completed,structures/reference/43-R1.xyz,
43-TS,extra_large,mace,-8290.493873648937,-304.670030358019,,15,0,3,cuda,1,0.05316198,0.05316198,0.05316198,0.00000000,completed,structures/reference/43-TS.xyz,
44-P1,extra_large,mace,-2981.077513316261,-109.552577967460,,2,0,1,cuda,1,0.03986929,0.03986929,0.03986929,0.00000000,completed,structures/reference/44-P1.xyz,
44-P2,extra_large,mace,-5311.349443775223,-195.188491896782,,13,0,3,cuda,1,0.04796700,0.04796700,0.04796700,0.00000000,completed,structures/reference/44-P2.xyz,
44-TS,extra_large,mace,-8291.612952285070,-304.711155739358,,15,0,3,cuda,1,0.05417538,0.05417538,0.05417538,0.00000000,completed,structures/reference/44-TS.xyz,
45-P1,extra_large,mace,-11500.149493506562,-422.622698805068,,24,0,3,cuda,1,0.08700072,0.08700072,0.08700072,0.00000000,completed,structures/reference/45-P1.xyz,
45-R1,extra_large,mace,-11499.757820566101,-422.608305089992,,24,0,3,cuda,1,0.08716484,0.08716484,0.08716484,0.00000000,completed,structures/reference/45-R1.xyz,
45-TS,extra_large,mace,-11499.174256305685,-422.586859498976,,24,0,3,cuda,1,0.08719163,0.08719163,0.08719163,0.00000000,completed,structures/reference/45-TS.xyz,
46-P1,extra_large,mace,-8520.394792900046,-313.118733308057,,22,0,3,cuda,1,0.07929021,0.07929021,0.07929021,0.00000000,completed,structures/reference/46-P1.xyz,
46-TS,extra_large,mace,-11500.113295374851,-422.621368548264,,24,0,3,cuda,1,0.08705003,0.08705003,0.08705003,0.00000000,completed,structures/reference/46-TS.xyz,
47-P1,extra_large,mace,-8422.469865176952,-309.520058590133,,16,0,3,cuda,1,0.05332226,0.05332226,0.05332226,0.00000000,completed,structures/reference/47-P1.xyz,
47-R1,extra_large,mace,-11403.494868502887,-419.070706851041,,18,0,3,cuda,1,0.06141552,0.06141552,0.06141552,0.00000000,completed,structures/reference/47-R1.xyz,
47-TS,extra_large,mace,-11402.902814775047,-419.048949277851,,18,0,3,cuda,1,0.06167171,0.06167171,0.06167171,0.00000000,completed,structures/reference/47-TS.xyz,
48-P1,extra_large,mace,-25892.356887442009,-951.526565143646,,34,0,3,cuda,1,0.11953609,0.11953609,0.11953609,0.00000000,completed,structures/reference/48-P1.xyz,
48-R1,extra_large,mace,-28872.305930490948,-1061.037672593686,,36,0,3,cuda,1,0.13031924,0.13031924,0.13031924,0.00000000,completed,structures/reference/48-R1.xyz,
48-TS,extra_large,mace,-28872.180346189743,-1061.033057455741,,36,0,3,cuda,1,0.12786347,0.12786347,0.12786347,0.00000000,completed,structures/reference/48-TS.xyz,
49-P1,extra_large,mace,-12987.011596153849,-477.263873246025,,19,0,3,cuda,1,0.06277090,0.06277090,0.06277090,0.00000000,completed,structures/reference/49-P1.xyz,
49-R1,extra_large,mace,-15965.773150660023,-586.731341297027,,21,0,3,cuda,1,0.07179006,0.07179006,0.07179006,0.00000000,completed,structures/reference/49-R1.xyz,
49-TS,extra_large,mace,-15965.545167260994,-586.722963061646,,21,0,3,cuda,1,0.06947999,0.06947999,0.06947999,0.00000000,completed,structures/reference/49-TS.xyz,
5-P1,extra_large,mace,-11975.775946999580,-440.101648579747,,19,0,3,cuda,1,0.06930003,0.06930003,0.06930003,0.00000000,completed,structures/reference/5-P1.xyz,
5-R1,extra_large,mace,-4648.547464378799,-170.830968417281,,7,0,1,cuda,1,0.03759225,0.03759225,0.03759225,0.00000000,completed,structures/reference/5-R1.xyz,
5-R2,extra_large,mace,-7326.000125975462,-269.225538888361,,12,0,3,cuda,1,0.04603800,0.04603800,0.04603800,0.00000000,completed,structures/reference/5-R2.xyz,
5-TS,extra_large,mace,-11974.663401352622,-440.060763281332,,19,0,3,cuda,1,0.06955826,0.06955826,0.06955826,0.00000000,completed,structures/reference/5-TS.xyz,
50-R1,extra_large,mace,-17551.836045635053,-645.018077615317,,22,0,3,cuda,1,0.07010701,0.07010701,0.07010701,0.00000000,completed,structures/reference/50-R1.xyz,
50-R2,extra_large,mace,-11319.164897112147,-415.971637563339,,14,0,1,cuda,1,0.05054090,0.05054090,0.05054090,0.00000000,completed,structures/reference/50-R2.xyz,
50-TS,extra_large,mace,-28870.979347845816,-1060.988921580667,,36,0,3,cuda,1,0.12406808,0.12406808,0.12406808,0.00000000,completed,structures/reference/50-TS.xyz,
6-P1,extra_large,mace,-11976.573902852020,-440.130972916451,,19,0,3,cuda,1,0.06917616,0.06917616,0.06917616,0.00000000,completed,structures/reference/6-P1.xyz,
6-TS,extra_large,mace,-11974.648177112329,-440.060203800821,,19,0,3,cuda,1,0.06974198,0.06974198,0.06974198,0.00000000,completed,structures/reference/6-TS.xyz,
7-P1,extra_large,mace,-16762.757371088413,-616.019971182464,,28,0,3,cuda,1,0.10190664,0.10190664,0.10190664,0.00000000,completed,structures/reference/7-P1.xyz,
7-R1,extra_large,mace,-16762.509218760242,-616.010851752607,,28,0,3,cuda,1,0.09218648,0.09218648,0.09218648,0.00000000,completed,structures/reference/7-R1.xyz,
7-TS,extra_large,mace,-16761.559035988768,-615.975933179812,,28,0,3,cuda,1,0.10133570,0.10133570,0.10133570,0.00000000,completed,structures/reference/7-TS.xyz,
8-P1,extra_large,mace,-30356.732721271030,-1115.589350974237,,15,0,3,cuda,1,0.05395401,0.05395401,0.05395401,0.00000000,completed,structures/reference/8-P1.xyz,
8-R1,extra_large,mace,-4277.132691745569,-157.181727276984,,12,0,1,cuda,1,0.04570826,0.04570826,0.04570826,0.00000000,completed,structures/reference/8-R1.xyz,
8-R2,extra_large,mace,-26078.086742980948,-958.352011442484,,3,0,3,cuda,1,0.03995217,0.03995217,0.03995217,0.00000000,completed,structures/reference/8-R2.xyz,
8-TS,extra_large,mace,-30355.227043992094,-1115.534018354821,,15,0,3,cuda,1,0.05347183,0.05347183,0.05347183,0.00000000,completed,structures/reference/8-TS.xyz,
9-P1,extra_large,mace,-16730.846558972979,-614.847270467147,,26,0,3,cuda,1,0.09729045,0.09729045,0.09729045,0.00000000,completed,structures/reference/9-P1.xyz,
9-R1,extra_large,mace,-16730.399972377960,-614.830858712487,,26,0,3,cuda,1,0.09325385,0.09325385,0.09325385,0.00000000,completed,structures/reference/9-R1.xyz,
9-TS,extra_large,mace,-16729.763716300720,-614.807476732918,,26,0,3,cuda,1,0.09568129,0.09568129,0.09568129,0.00000000,completed,structures/reference/9-TS.xyz,
